,gene_id,hacat_stim_1,hacat_stim_2,hacat_unstim_1,hacat_unstim_2,myla_1,myla_2,naive_T_1,naive_T_2,GM12878,hacat_stim,hacat_unstim,myla,naive_T,gene_name
0,ENSG00000000419,,,,,,,,,,,,,0.00102041412624,DPM1
1,ENSG00000001460,4.1178948724399995e-18,5.33098458548e-30,4.08390555209e-07,2.02047130108e-07,1.1991755259000001e-05,3.6114017779e-31,8.94278613855e-12,3.4014151797500004e-08,,7.30696699968e-49,1.73891576851e-21,6.97912132218e-13,8.62241401567e-31,STPG1
2,ENSG00000001461,4.03502828717e-06,4.28247766438e-11,4.08390555209e-07,2.02047130108e-07,1.1991755259000001e-05,1.20272268551e-05,,,,5.9920405213e-14,2.1442178258600003e-10,4.51128776129e-12,0.0007496577042499999,NIPAL3
3,ENSG00000002330,1.0,1.0,1.0,1.0,0.00788151483231,1.0,1.0,1.0,5.2974853823399994e-09,1.0,1.0,1.0,1.0,BAD
4,ENSG00000009413,0.000144400782537,5.56723222987e-12,,3.3966959219099997e-12,,,,,0.000568170187389,4.88615145679e-11,3.0976278789000007e-11,,,REV3L
5,ENSG00000010270,,,,,,,,,1.65981461747e-32,,,,,STARD3NL
6,ENSG00000011426,,,,,,,,,0.00011055386971399999,,,0.00112231808873,,ANLN
7,ENSG00000014216,,0.000204686270292,,0.0043753049892099995,,,,,,1.09726222626e-06,0.0019193506618199999,,,CAPN1
8,ENSG00000014919,,,,,,,,,,,0.000248547032399,,,COX15
9,ENSG00000019582,,,,,9.41343493973e-06,,3.12880841543e-11,3.1293402993e-17,1.5196380242e-06,,,6.24042576249e-07,1.6785120045599994e-29,CD74
10,ENSG00000020633,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,RUNX3
11,ENSG00000023839,0.004221374384440001,2.27394214171e-07,0.00114345869698,0.00171759366872,,,,,,1.33603387957e-08,1.90162118312e-07,,,ABCC2
12,ENSG00000024862,,,,,,,9.34254018211e-06,,,,,,8.33129109055e-08,CCDC28A
13,ENSG00000027697,,,,,,,1.74837419152e-06,8.65443697358e-14,,,,,8.983403653539998e-22,IFNGR1
14,ENSG00000029363,,,,,,,4.17480572455e-07,9.57037768757e-08,,,,,1.79098335617e-13,BCLAF1
15,ENSG00000035403,,1.879765566e-05,,1.00045773438e-08,,,0.000606282894551,0.00124879838502,0.0056921809179,0.000181865113101,5.87476100077e-06,,4.077147347719999e-06,VCL
16,ENSG00000036549,,0.0008856182857789998,,,0.000676612571655,,1.42904880426e-14,1.2561618939299999e-08,4.76204134512e-17,0.0009279560117510001,,1.4174120227e-06,7.08084658319e-23,AC118549.1
17,ENSG00000038532,0.008007761589800001,3.09259577425e-08,,1.93049130171e-06,,,0.00113349094772,1.68604781653e-07,,2.89013343231e-10,8.95706670376e-09,,1.31712186334e-11,CLEC16A
18,ENSG00000041353,,5.31541787305e-05,,1.10732051748e-05,,,,,,3.1160700667e-05,0.000482028944555,,,RAB27B
19,ENSG00000052344,,6.02794885576e-05,0.00173925940167,1.3073481372600001e-06,,,,,,1.44318013117e-07,1.85447533218e-08,,,PRSS8
20,ENSG00000056972,,3.3756253109399996e-09,,,,,,,,4.5473557091e-08,,,,TRAF3IP2
21,ENSG00000058729,,,,,,,,0.00818959971541,,,,,0.000333138901084,RIOK2
22,ENSG00000060138,,,,,,,,,,,0.00030547220028700003,,,YBX3
23,ENSG00000062485,1.0,0.00836288046008,1.0,1.0,1.0,1.0,1.0,1.0,0.0005456419887949999,0.00212850173027,1.0,1.0,1.0,CS
24,ENSG00000063180,,0.000455611845171,,1.1295289296100001e-08,,,3.2702556146900013e-08,2.0716582171e-15,,1.29160374436e-05,7.2947299945600005e-09,,6.43977606913e-20,CA11
25,ENSG00000065361,,,,,,,0.00144618016825,0.00784759926834,,,,,0.000147415505799,ERBB3
26,ENSG00000070495,,,,,,,,0.00020984736968599998,,,,,4.77931206155e-05,JMJD6
27,ENSG00000070614,,,,,,,,,,0.0070744729842399994,,,,NDST1
28,ENSG00000070814,,,,,,,,,,,,,0.0005837376061830001,TCOF1
29,ENSG00000072518,,,,0.0086593083914,,,,,,,,,,MARK2
30,ENSG00000074935,,,,,,,,,,,,,6.09654483804e-05,TUBE1
31,ENSG00000076108,,0.00622082503196,,,,,1.0468877502500001e-08,0.00012133996887499999,0.00288145860935,,,,8.3398611971e-06,BAZ2A
32,ENSG00000076513,,,,,,,0.0012762623265199999,0.0016496458406400002,,,,,9.619497430280001e-07,ANKRD13A
33,ENSG00000076662,,,,,0.00806572117834,,,,1.37588073862e-07,0.00058200176473,0.00260244712031,0.0015982047135000002,0.00859905024414,ICAM3
34,ENSG00000077254,,,,,,,0.00058608231051,8.84901262885e-06,0.00010550202201699999,0.00593303199682,,,1.57939502954e-10,USP33
35,ENSG00000079805,,,,3.2365331808e-11,,,1.02891166553e-07,6.46834712701e-14,0.00042381675149700003,0.00537130580406,2.43302590544e-16,,5.0571775537700005e-15,DNM2
36,ENSG00000080603,,,,,,,0.000257577003252,0.0032138360280400003,0.0044143234321,,,,9.34466921955e-08,SRCAP
37,ENSG00000086061,,,,,,,,,,,,,0.000202461782876,DNAJA1
38,ENSG00000086289,,,,,,,,,5.58468661934e-06,,,,,EPDR1
39,ENSG00000086589,,,,,,,,,,,,0.0024037011348100002,0.00139308234639,RBM22
40,ENSG00000088387,,6.22222489818e-08,,4.46369763273e-08,,,0.00324018998515,,,1.4151301204000007e-05,8.38708188301e-09,,4.8194525706999986e-05,DOCK9
41,ENSG00000089009,,1.96619317925e-05,,9.65660091864e-06,1.25815555857e-06,0.0011904038476500001,6.282233479649999e-11,3.24293513942e-06,0.000773384984874,5.23465086402e-05,9.93476765376e-07,8.406342987829999e-13,1.41003925259e-13,RPL6
42,ENSG00000089022,,0.00044516982001199996,,,0.00100175071566,,6.282233479649999e-11,,,0.00048001182373000003,,,,MAPKAPK5
43,ENSG00000089234,,0.007098938281619998,,,,,,0.0012398744218099999,,,0.0016154797318100001,0.00020083784309599998,4.346782277840001e-06,BRAP
