,gene_id,hacat_stim_1,hacat_stim_2,hacat_unstim_1,hacat_unstim_2,myla_1,myla_2,naive_T_1,naive_T_2,GM12878,hacat_stim,hacat_unstim,myla,naive_T,gene_name
0,ENSG00000001460,4.1178948724399995e-18,5.33098458548e-30,4.08390555209e-07,2.02047130108e-07,1.1991755259000001e-05,3.6114017779e-31,8.94278613855e-12,3.4014151797500004e-08,,7.30696699968e-49,1.73891576851e-21,6.97912132218e-13,8.62241401567e-31,STPG1
1,ENSG00000001461,4.03502828717e-06,4.28247766438e-11,4.08390555209e-07,2.02047130108e-07,1.1991755259000001e-05,1.20272268551e-05,,,,5.9920405213e-14,2.1442178258600003e-10,4.51128776129e-12,0.0007496577042499999,NIPAL3
2,ENSG00000009413,,2.06410905751e-08,,3.01587138787e-08,,,,,3.39475493881e-05,1.91831991275e-05,3.33966343248e-07,,,REV3L
3,ENSG00000019582,,,,,9.41343493973e-06,,3.12880841543e-11,3.1293402993e-17,1.5196380242e-06,,,6.24042576249e-07,1.6785120045599994e-29,CD74
4,ENSG00000056972,,1.3093128375e-07,,5.17676662645e-05,,,,,0.00324198783415,1.8525345343e-07,2.57065089889e-06,,,TRAF3IP2
5,ENSG00000062485,1.0,0.00836288046008,1.0,1.0,1.0,1.0,1.0,1.0,0.0005456419887949999,0.00212850173027,1.0,1.0,1.0,CS
6,ENSG00000065361,,,,,,,0.00144618016825,0.00784759926834,,,,,0.000147415505799,ERBB3
7,ENSG00000070614,,,,,,,,,,0.0070744729842399994,,,,NDST1
8,ENSG00000070814,,,,,,,,,,,,,0.0005837376061830001,TCOF1
9,ENSG00000072682,,,,,,,,,,0.00229935881826,,,,P4HA2
10,ENSG00000076108,,0.00622082503196,,,,,1.0468877502500001e-08,0.00012133996887499999,0.00288145860935,,,,8.3398611971e-06,BAZ2A
11,ENSG00000086589,,,,,,,,,,,,0.0024037011348100002,0.00139308234639,RBM22
12,ENSG00000090339,,,,,1.40140683006e-05,,,,1.22169780512e-24,,,1.9414697785000002e-05,,ICAM1
13,ENSG00000092020,,0.00818155609271,,0.0010010358103,,,,,,0.00029703432249299997,3.49857435891e-05,,,PPP2R3C
14,ENSG00000100890,,0.00818155609271,,0.0010010358103,,,,,,0.00029703432249299997,3.49857435891e-05,,,KIAA0391
15,ENSG00000100902,,6.65868748119e-05,,,,,,,,1.03320698465e-05,,,,PSMA6
16,ENSG00000105397,,,,,0.00806572117834,,,,,,,0.0015982047135000002,,TYK2
17,ENSG00000110944,,8.27191332523e-07,,,,,1.0,7.84437186823e-15,5.95946371325e-14,5.65217249496e-10,,0.00203378241663,4.14685749985e-11,IL23A
18,ENSG00000110955,,,,,,,1.0468877502500001e-08,0.00158669617452,0.0010089610375,,,,2.37743082445e-06,ATP5F1B
19,ENSG00000110958,,,,,,,1.89423467633e-07,,0.0007939286315689997,,,,1.87659252372e-05,PTGES3
20,ENSG00000111481,,,,,,,,,,,,,0.00822725407886,COPZ1
21,ENSG00000111540,,,,,,,1.14745420629e-05,0.0018328481311199998,,,,,1.11829756104e-08,RAB5B
22,ENSG00000111602,,4.23225840401e-11,,1.32952473651e-09,2.1971109523900003e-06,0.000185526099658,5.3669685315e-09,4.36283917259e-06,6.5302873738899985e-25,3.17581130778e-12,5.07205367717e-11,3.800843625e-08,1.17194305769e-11,TIMELESS
23,ENSG00000113312,,,,,,,0.00783788647415,,0.0029604754760500004,0.00206983006314,0.0018965193662600001,,4.92125759451e-07,TTC1
24,ENSG00000116704,,,,,,,5.11878753923e-29,2.64878727447e-12,4.26652792179e-09,,,,5.38112844606e-39,SLC35D1
25,ENSG00000116717,,,,,,,,0.00020790351860400005,,,,,3.4573032524599997e-06,GADD45A
26,ENSG00000117602,,,,,,,,,,,,0.0025915956496399997,,RCAN3
27,ENSG00000123329,,,,,,,1.05260304916e-16,1.94146539957e-07,,,,,6.01990492987e-23,ARHGAP9
28,ENSG00000123338,,,,,,,,,,,,,0.000250353871173,NCKAP1L
29,ENSG00000123353,,,,,,,2.14928818313e-06,0.007978634956,,,,,2.87953845832e-07,ORMDL2
30,ENSG00000125347,,,,,0.0031036135262100003,0.0022077187047699997,,,,,0.0011105971791500002,3.32665808648e-07,,IRF1
31,ENSG00000131435,,,,,,,,,,,0.00047144036758299995,,,PDLIM4
32,ENSG00000132912,,,,,,0.00827832536252,7.7488181284e-06,,,,,,0.0023404693093899997,DCTN4
33,ENSG00000133226,,6.8486849842e-15,,2.74945812835e-05,2.90040240872e-06,1.69042269217e-08,1.29966588131e-30,2.77853873525e-07,,3.673519486969999e-15,1.05224546792e-07,7.75315514471e-17,4.3142387171999997e-39,SRRM1
34,ENSG00000135392,,,,,,,2.14928818313e-06,0.007978634956,,,,,2.87953845832e-07,DNAJC14
35,ENSG00000135404,,,,,,0.00031619612794599997,,,,,,,,CD63
36,ENSG00000135414,,7.82845072383e-08,,0.00279557814303,0.000254026909327,,3.10604675373e-18,7.473710767919999e-08,1.40548071336e-13,4.4331430066300007e-10,0.00020507900724,5.7932543949199985e-06,5.1486999478099997e-26,GDF11
