,gene_id,hacat_stim_1,hacat_stim_2,hacat_unstim_1,hacat_unstim_2,myla_1,myla_2,naive_T_1,naive_T_2,GM12878,hacat_stim,hacat_unstim,myla,naive_T,gene_name
0,ENSG00000033627,,6.62771045459e-08,0.0027622727861799997,1.69865798259e-07,,,,,,1.31672927852e-08,5.12289298454e-08,,,ATP6V0A1
1,ENSG00000035141,,,,,0.000529193182244,,,,,,,0.00035216697666300004,,FAM136A
2,ENSG00000068120,,,0.0010166951994700002,0.0043513891840699995,,,,,,,3.17458210292e-06,,,COASY
3,ENSG00000072364,,,,,,,0.0016384309077899998,,,,,,0.0006686491036579999,AFF4
4,ENSG00000072682,,,,0.0033751082252,,,,,,,,,,P4HA2
5,ENSG00000082068,,,,,,,,0.00194897672902,,,,,0.00124326277824,WDR70
6,ENSG00000092020,8.95209180978e-05,3.40488586429e-10,1.0,1.4084941149000007e-13,0.00618238831795,1.0,4.322486130009998e-22,1.20227354764e-21,1.89701169681e-14,1.0921319769299998e-12,1.46823218101e-13,0.00600681351988,6.214948787599999e-32,PPP2R3C
7,ENSG00000100883,,4.20942985653e-13,,1.7846164161299999e-09,,,3.24630461861e-13,5.43417783951e-20,3.51309077303e-05,8.48290737695e-10,5.32559447393e-09,,1.68041454464e-19,SRP54
8,ENSG00000100890,8.95209180978e-05,3.40488586429e-10,1.0,1.4084941149000007e-13,0.00618238831795,1.0,4.322486130009998e-22,1.20227354764e-21,1.89701169681e-14,1.0921319769299998e-12,1.46823218101e-13,0.00600681351988,6.214948787599999e-32,KIAA0391
9,ENSG00000100902,8.95209180978e-05,3.40488586429e-10,1.0,1.4084941149000007e-13,0.00022997905746400009,1.0,4.322486130009998e-22,1.20227354764e-21,2.63466559356e-16,1.0921319769299998e-12,7.96101306486e-13,0.000776164860285,6.214948787599999e-32,PSMA6
10,ENSG00000100906,2.663487564610001e-15,2.7040387150199995e-64,1.27075098265e-13,5.632252181369997e-67,4.5101569447899995e-17,1.8696898236600002e-11,6.871554601479996e-101,4.860982724599997e-117,1.7903169066499986e-117,3.9848147523999996e-70,1.2584994086899993e-66,7.1804260113e-28,9.259640226739995e-144,NFKBIA
11,ENSG00000100916,,,,,,,0.0004895801817830001,1.46055948695e-07,,,,,1.02792699767e-09,BRMS1L
12,ENSG00000101150,,,,,,,6.29940574679e-08,4.41643603589e-09,1.1621598043e-08,,,0.00732248467275,1.0331165242100001e-10,TPD52L2
13,ENSG00000101152,,,,,,,6.916365979460001e-06,4.10898707032e-06,,,,,9.93254711028e-08,DNAJC5
14,ENSG00000101161,,,,,,,5.32652597309e-05,3.4726090119000004e-09,,,0.0024703400580500003,,1.6298370897199999e-09,PRPF6
15,ENSG00000101213,0.00452692243237,1.25812006339e-06,1.71671201159e-08,2.11501665643e-08,,,0.000200056595064,0.000101141957375,,4.01838299494e-09,1.11706161441e-12,0.000245234127924,6.740774273709999e-08,PTK6
16,ENSG00000101216,,0.00223343291367,,0.0058431561381599995,,,0.00416675235463,,,0.00932820769283,0.0017724759909,,,GMEB2
17,ENSG00000101246,,,,0.00368235364471,,,,,,,0.0015242434781800001,,,ARFRP1
18,ENSG00000108784,,,,,,,,0.000149021021348,0.000589451543849,,,,,NAGLU
19,ENSG00000108786,,,,,,,,0.000848386851239,,,0.0015389480642800002,,,HSD17B1
20,ENSG00000108788,,,0.0010166951994700002,0.0043513891840699995,,,,,,,3.17458210292e-06,,,MLX
21,ENSG00000113456,,0.00082758252605,,5.40430326244e-05,0.0005409345498350001,,4.0131774914699986e-08,1.82790854134e-17,,2.43048224274e-06,1.57023983435e-05,1.29506399002e-05,2.28230408268e-17,RAD1
22,ENSG00000113460,,0.00082758252605,,5.40430326244e-05,0.0005409345498350001,,4.0131774914699986e-08,1.82790854134e-17,,2.43048224274e-06,1.57023983435e-05,1.29506399002e-05,2.28230408268e-17,BRIX1
23,ENSG00000113494,,,,,1.14234105853e-09,,,,5.768153032150003e-16,,,2.97618112329e-10,,PRLR
24,ENSG00000113522,,,,,1.45702446124e-09,3.6933259298199997e-09,,,0.00034814974965,,,4.13185641614e-14,,RAD50
25,ENSG00000113525,,,,,1.44059177094e-10,3.6933259298199997e-09,,,,,,4.13185641614e-14,,IL5
26,ENSG00000113569,,,,,,,,0.00194897672902,,,,,0.00124326277824,NUP155
27,ENSG00000113575,,,,,,,,,,,,,0.00284967980026,PPP2CA
28,ENSG00000113583,,,,,,,0.008507825457259999,,,,,,,C5orf15
29,ENSG00000113811,,,,,,,5.2217353464500006e-17,7.29736498678e-18,,,,,2.43804183602e-24,SELENOK
30,ENSG00000113812,,,,,,,5.73178532519e-05,8.77274767342e-05,,,,,1.06565412472e-06,ACTR8
31,ENSG00000114904,,0.00853486978832,,,0.00013631140402500002,,0.0059016009819499995,,0.000174454606575,0.000681448151312,,2.0493105449900002e-08,,NEK4
32,ENSG00000115590,,,,,,,,,2.7268993994199995e-24,,,,,IL1R2
33,ENSG00000115594,,,,,,,,,7.26261790158e-39,,,,,IL1R1
34,ENSG00000115604,1.0,1.0,,1.0,1.0,1.0,3.72846588938e-07,1.0,9.203918514829995e-161,1.0,1.0,1.0,5.7741896686000006e-11,IL18R1
35,ENSG00000115738,,,,0.000763359322515,,,,,,0.00237560894243,5.04140416015e-05,,,ID2
36,ENSG00000116039,,,,,,,,,,0.00034549042916000007,,,,ATP6V1B1
37,ENSG00000117360,,,,,,,,,1.7117475729299999e-06,,,0.000725684078112,,PRPF3
38,ENSG00000117362,,0.0032942972788200004,,,3.34288698193e-09,,0.000865506582128,,0.000260876288793,0.000210744624521,,3.5733984308099997e-11,0.00021057875967099996,APH1A
39,ENSG00000118292,,0.0032942972788200004,,,,,0.000865506582128,,0.000260876288793,0.000210744624521,,,0.00021057875967099996,C1orf54
40,ENSG00000118298,,,,,,,0.000865506582128,,,,,,0.00021057875967099996,CA14
41,ENSG00000122877,,9.60774332263e-05,,,,,,,2.135946602339997e-183,0.006898994882979999,,,,EGR2
42,ENSG00000123737,,,,,,,1.60019582303e-08,0.000479145263128,,,,,2.2612562219899997e-11,EXOSC9
43,ENSG00000125520,,,,,,,,,0.0014181769384000002,0.004995710699510001,,,,SLC2A4RG
44,ENSG00000125534,,,,,,,,,,,0.0009110896071930001,,,PPDPF
45,ENSG00000129515,,,,,9.98063614779e-06,,2.01153011457e-16,2.7721122185400003e-14,,0.000135150368494,5.63741062838e-05,7.34903951645e-11,1.31349336547e-25,SNX6
46,ENSG00000129518,,,,,,,2.0244878633800003e-15,8.958008408180002e-16,,,,,5.772386903939999e-23,EAPP
47,ENSG00000130590,,,,,,,5.32652597309e-05,3.4726090119000004e-09,,,0.0024703400580500003,,1.6298370897199999e-09,SAMD10
48,ENSG00000131437,,,,,0.0017859946130900004,0.004316503234229999,,,7.01019654121e-15,,,1.49153886995e-05,,KIF3A
49,ENSG00000131470,,,,0.0057772821294,,,,,,,0.0015168486524899999,,,PSMC3IP
50,ENSG00000134470,,,,,8.52741510573e-22,,,,,,,1.23203186399e-37,,IL15RA
51,ENSG00000134954,,,,,6.3888012039e-20,5.705756479909999e-20,8.377397209569999e-24,6.0269001959199953e-64,2.7132042139400003e-17,,,2.35593937441e-33,2.1353272642100002e-47,ETS1
52,ENSG00000135362,,,,,1.8894274819000002e-13,,,,,,,8.297781882030001e-18,,PRR5L
53,ENSG00000138686,,,,,,,2.3586551208000002e-07,0.0038147776424499995,,,,,3.72298296409e-10,BBS7
54,ENSG00000138688,,,,,,,,,,,,,0.00294224802467,KIAA1109
55,ENSG00000143363,1.2582403213e-05,5.4601760499000004e-12,0.000467436453791,2.22028281527e-11,0.00038722166956199996,,0.00325794346064,8.71286045896e-05,,1.01376400836e-09,1.44789413408e-13,2.08618132708e-07,7.67106064662e-06,PRUNE1
