,gene_id,hacat_stim_1,hacat_stim_2,hacat_unstim_1,hacat_unstim_2,myla_1,myla_2,naive_T_1,naive_T_2,GM12878,hacat_stim,hacat_unstim,myla,naive_T,gene_name
0,ENSG00000019582,,,,,,,3.12880841543e-11,3.1293402993e-17,1.75987702661e-05,,,,6.78530412498e-24,CD74
1,ENSG00000031081,,0.00441134775268,,4.49683076929e-05,,,,,1.79498572525e-07,0.00995586191997,0.0029388265541,,,ARHGAP31
2,ENSG00000035681,,,,,,,,,,,,,0.000460084642821,NSMAF
3,ENSG00000057657,,8.374584418170001e-19,,0.00230581975774,7.94560323353e-12,6.20128526864e-14,0.00513861644032,1.5436919723700001e-06,3.6233838122199984e-53,1.1411336237999998e-18,,1.99842110649e-21,6.07838356324e-06,PRDM1
4,ENSG00000064419,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.87481705157e-08,1.0,1.0,1.0,1.0,TNPO3
5,ENSG00000065518,,,,,,,0.00460613485524,3.24397132749e-10,,,,,2.8493299761599997e-09,NDUFB4
6,ENSG00000067191,,,,,0.000190109776213,,,,,,,0.0015761658521,,CACNB1
7,ENSG00000067221,,,,,,,,,0.0014047192222499999,,,,,STOML1
8,ENSG00000068885,,2.44129631921e-09,,,5.39480983615e-05,,,,7.20234187692e-17,1.45402128605e-13,0.0037828589497100004,8.31845185975e-08,,IFT80
9,ENSG00000070047,,1.64981861831e-05,,2.42839787253e-05,,,0.00024171156608099998,0.0021471744034,3.4764184389200003e-17,2.12207121009e-05,5.76259374074e-07,0.00356368736179,2.37160113386e-06,PHRF1
10,ENSG00000070614,,,,,,,,,,0.0070744729842399994,,,,NDST1
11,ENSG00000073350,,0.00021303921979799997,,,,,,0.00201190695326,,0.00041567171034,0.000780487006406,,0.0029144979190300004,LLGL2
12,ENSG00000073605,1.0,2.04514438129e-06,,,0.0020198728061099997,1.0,1.0,1.0,7.32750001138e-30,2.18116940845e-06,,0.0006725470881180001,1.0,GSDMB
13,ENSG00000076706,,,,,,0.00238180299794,,,,,,1.24668505892e-05,,MCAM
14,ENSG00000079459,,,,,,,,,3.8981967819599997e-10,,,,,FDFT1
15,ENSG00000082701,,,,,,,6.67519249496e-18,1.3948089500799994e-12,,,,,1.4387706109099996e-26,GSK3B
16,ENSG00000085377,,,,,,,,,,0.00033702517638599996,,0.0009156205016240001,,PREP
17,ENSG00000086589,,,,,,,,,,,,0.0024037011348100002,,RBM22
18,ENSG00000092931,,,,,,,,,,,,,0.00848503804097,MFSD11
19,ENSG00000099849,,6.06457650404e-05,,2.00956550597e-07,,,0.00116590216153,0.00051264665551,3.19201431496e-08,6.82132609494e-06,2.04408380084e-05,,2.81089050177e-05,RASSF7
20,ENSG00000103653,1.0,0.000393226865704,0.000611956307132,0.00011469233640999999,1.8163117225099998e-08,0.000181315301973,2.3156343296599996e-19,6.099873312039997e-45,4.2175531626199993e-22,0.00143517845638,5.186717524050001e-09,1.16851339179e-11,7.68956221898e-43,CSK
21,ENSG00000104388,,,,,,,,,,0.000221897002909,,,,RAB2A
22,ENSG00000108298,,,,,0.000190109776213,,,,,,,0.0015761658521,,RPL19
23,ENSG00000108344,0.00126838455602,1.94787376205e-07,,7.76032378896e-05,1.05222931774e-05,3.12646518174e-05,0.005768323009330001,0.00367473672157,3.32266621967e-34,9.65485869779e-08,5.98690414504e-05,2.3653265920399998e-11,,PSMD3
24,ENSG00000108469,,,,,,,2.47643652716e-06,0.005626573172590001,,,,,3.3298431925800003e-08,RECQL5
25,ENSG00000109089,0.0013504339825199999,5.74543319166e-05,,,1.0440697305800001e-07,0.0006693707811220001,,,,1.00759322469e-06,0.0024860625086300004,4.31067004793e-09,,CDR2L
26,ENSG00000109320,1.0,1.0,1.0,1.0,2.8770673218900007e-06,4.46386577396e-05,4.89314646105e-09,3.46330387411e-11,5.602380985110001e-12,0.00119080912441,1.0,1.99718145007e-13,1.87160969479e-14,NFKB1
27,ENSG00000109323,,,,,,,,0.000200621418948,,,,,0.0040377356886,MANBA
28,ENSG00000109332,9.56439288706e-07,7.370066176639998e-18,,3.24946356441e-16,,,3.81740075229e-48,4.026797291669999e-33,5.856475291669998e-41,5.65230171508e-26,3.5083229718799995e-18,,5.151515488699999e-65,UBE2D3
29,ENSG00000110367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.23841207334e-37,1.0,1.0,1.0,1.0,DDX6
30,ENSG00000110375,,,,,,,,,,0.006725144667979999,0.0056679653993199994,,,UPK2
31,ENSG00000110651,,,,,,,,,,2.82622834281e-05,0.0008380202790210001,,,CD81
32,ENSG00000113810,,2.44129631921e-09,,,5.39480983615e-05,,,,7.20234187692e-17,1.45402128605e-13,0.0037828589497100004,8.31845185975e-08,,SMC4
33,ENSG00000113845,,0.00358974480784,,0.00036277424588300017,,0.00808233548943,1.81322332858e-13,2.70515695808e-13,,0.0029780550910799997,2.54850336488e-06,,4.93183202418e-17,TIMMDC1
34,ENSG00000115415,,0.00104566798607,,,,,,0.006532917019399999,,6.5486506464e-06,,,,STAT1
35,ENSG00000116704,,,,,,,,,0.0033354825287,,,,,SLC35D1
36,ENSG00000116717,,0.00569446286005,,,,,,,,,,,,GADD45A
37,ENSG00000117475,,,,,,,,0.00043388394414999997,,,,,,BLZF1
38,ENSG00000117586,,,,,,,,,5.610339230069999e-31,,,,,TNFSF4
39,ENSG00000117592,,,,,,,,,,0.0010843652014900001,,,,PRDX6
40,ENSG00000117593,,3.8421655e-05,,1.78819452549e-05,,,,,7.8300112591e-06,4.3408278934099997e-08,6.75229250177e-07,0.00680284767524,,DARS2
41,ENSG00000120334,,3.8421655e-05,,1.78819452549e-05,,,,,7.8300112591e-06,4.3408278934099997e-08,6.75229250177e-07,0.00680284767524,,CENPL
42,ENSG00000121578,,,,,,,8.655008197860002e-11,2.5974750094e-12,,,,,5.14297522088e-15,B4GALT4
43,ENSG00000125445,1.0,1.0,1.0,1.0,1.7851027558099998e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.8391830893800002e-07,1.0,MRPS7
44,ENSG00000125447,1.0,1.0,1.0,1.0,1.7851027558099998e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.8391830893800002e-07,1.0,GGA3
45,ENSG00000125449,0.0050444431988699995,6.680813821519999e-16,0.00012416141336,1.24925344923e-14,4.98473509833e-09,5.8286647632e-06,7.15183567824e-17,2.989027579550001e-11,5.41117909584e-27,4.9508113876500006e-17,7.199277877509999e-13,4.77844637891e-13,4.30779983019e-24,ARMC7
46,ENSG00000125450,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NUP85
47,ENSG00000125454,,0.0027900465552600003,,,,,,,,,,,0.00342942195359,SLC25A19
48,ENSG00000125457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MIF4GD
49,ENSG00000125458,,,,,2.35201924472e-08,,,,8.06014552372e-06,0.0036371887391700003,,1.47623116301e-09,,NT5C
50,ENSG00000125691,,,,,,,,,,,,0.00771316385231,,RPL23
51,ENSG00000126353,,,,,,,,,0.00033558169009700005,,,,,CCR7
52,ENSG00000127415,,,,,,,1.0,1.0,,,,,1.0,IDUA
53,ENSG00000127418,,,,,,,,,,,,,0.0048642021678,FGFRL1
54,ENSG00000127419,,,,1.47096990545e-11,,,,,1.64587101873e-08,,8.79757742946e-12,,,TMEM175
55,ENSG00000128595,,,,,,,,,,,,,0.00924536475132,CALU
56,ENSG00000128604,,9.96357720344e-05,,0.00329566857421,1.49221171898e-05,,,,1.5430175520399999e-06,1.79711376321e-05,5.81693148525e-06,1.2059586092000001e-08,,IRF5
57,ENSG00000131143,,,,,,,8.87566891551e-11,,0.00203317837905,,,,3.50829569885e-08,COX4I1
58,ENSG00000131148,,,,,,,8.87566891551e-11,,0.00203317837905,,,,3.50829569885e-08,EMC8
59,ENSG00000131748,3.2872768656900003e-06,8.784156671389999e-18,,6.2960394678e-07,9.834747958989999e-06,1.05857756108e-09,2.02713859976e-37,5.264582750290001e-16,6.9604594523399976e-34,9.06091512943e-23,4.85901919106e-08,1.60897195162e-08,2.30584248233e-37,STARD3
60,ENSG00000131759,,,,,,,,,6.836810923220001e-11,,,,,RARA
61,ENSG00000132471,,,,,,,0.00809382479231,,,,,,0.00109006675576,WBP2
62,ENSG00000132475,,,,,,,0.000171113558643,4.21861733454e-06,,,,,1.23729073713e-08,H3F3B
63,ENSG00000132478,,,,,,,0.000171113558643,4.21861733454e-06,,,,,1.23729073713e-08,UNK
64,ENSG00000132912,,,,,,,1.0503013464200002e-06,,,,,,8.28740802095e-08,DCTN4
65,ENSG00000135245,,,,,0.0031359196230300005,,,,,,,7.549360300539998e-07,,HILPDA
66,ENSG00000135253,,0.008900264160549998,,,,,,,,0.0006873414719219999,,,,KCP
67,ENSG00000136068,,,,,2.70808237892e-22,,,,,,,,,FLNB
68,ENSG00000136573,,,,,,,,,1.0,,,,,BLK
69,ENSG00000138378,,,,,,,1.2880105124999991e-87,1.5833015204699991e-53,5.11051412682e-19,,,,4.734230616069996e-112,STAT4
70,ENSG00000138386,1.0,1.0,1.0,1.0,,,1.0,1.0,3.8048298296599996e-37,1.0,1.0,,1.0,NAB1
71,ENSG00000138495,,5.4605094916400004e-12,,4.5206955433900005e-11,0.0007012383741819999,3.61249152873e-08,2.27384473033e-16,2.6569749673400005e-16,3.00555378342e-22,1.7672239169400006e-11,3.0562574735799998e-12,4.3925355424499997e-10,1.1581918616e-27,COX17
72,ENSG00000138814,,,,,,,,,,,,,0.006062179133100001,PPP3CA
73,ENSG00000138821,,,,,,,0.00124759745633,5.07501895156e-05,,,,,2.40428913412e-08,SLC39A8
74,ENSG00000140400,,,,,,,,,0.00274562310436,,,,,MAN2C1
75,ENSG00000140464,,,,,,,,,0.0014047192222499999,,,,,PML
76,ENSG00000140474,,0.0028297958688700002,,,5.10456556938e-08,0.00041884647571199996,,,4.22426513536e-07,,,1.2256239622300004e-09,,ULK3
77,ENSG00000140497,,,,,8.54953968759e-05,,,,,,,1.46541707767e-06,,SCAMP2
78,ENSG00000140968,,,,,,,1.33715694215e-14,,2.88129118862e-22,,,,2.0747445150400002e-15,IRF8
79,ENSG00000141569,,,,,,,,,,,,,0.00114570180353,TRIM65
80,ENSG00000141738,0.00827159036048,0.000211193199488,,0.00314055117895,,,,,,9.44179446739e-05,2.72590668181e-05,,,GRB7
81,ENSG00000141741,0.00827159036048,0.000211193199488,,0.00314055117895,,,,0.00013681999905500002,0.000190098542148,0.000518966022297,2.72590668181e-05,0.000951245930621,0.000668668488557,MIEN1
82,ENSG00000142082,,,,,,,,,,,,,0.00127464116017,SIRT3
83,ENSG00000142864,,0.000859728209496,,,,,,,0.00426381705847,3.15345488163e-05,0.00046004442645999997,,,SERBP1
84,ENSG00000143156,,,,,,,,0.00043388394414999997,,,,,,NME7
85,ENSG00000143167,,,,,,,1.54307404973e-17,4.58207268241e-08,,,,,5.71871818439e-16,GPA33
86,ENSG00000143179,,,,,,,,,,,,0.00958569058469,,UCK2
87,ENSG00000143183,,,,,,,,,,,,0.00958569058469,,TMCO1
88,ENSG00000143190,,5.09089953542e-07,,9.996475914239999e-06,2.78734968834e-05,,5.44932468711e-05,1.68966079368e-08,,4.2012813984500006e-08,7.09449558876e-05,8.572888875390002e-07,8.17035642618e-08,POU2F1
89,ENSG00000143198,,,,,,,,,,,,7.481348323e-05,,MGST3
90,ENSG00000144837,,,,,,,,,,,,0.006164893253680001,,PLA1A
91,ENSG00000144840,,,,,,,3.0538126348200005e-20,2.9260240599700013e-10,,,,,9.126264075239996e-27,RABL3
92,ENSG00000145214,1.0,1.0,1.0,0.005670452502060001,1.0,1.0,1.0,1.0,1.0,1.0,0.00035766202096900016,1.0,1.0,DGKQ
93,ENSG00000145354,,,,,,,3.90457809736e-13,2.0766982726200005e-10,5.805808635989997e-13,0.0008905616569939998,,,3.32778645483e-17,CISD2
94,ENSG00000145901,,,,,,,,,,0.006845121377840001,,,,TNIP1
95,ENSG00000145907,,,,,,,,,,,,0.00019391318890900005,,G3BP1
96,ENSG00000151689,2.7106970686900003e-06,1.48137742716e-16,,2.15113087509e-05,2.41147612039e-14,5.99779829956e-06,,,3.28907438118e-10,1.14391006487e-20,1.22084244407e-07,3.31038810423e-19,4.33359093469e-05,INPP1
97,ENSG00000151690,,3.94023209026e-05,,8.76911326803e-05,,,1.5040543568e-09,1.8799989815599998e-41,,1.94014569886e-05,5.63789940522e-06,0.0071288836129599995,1.9605417900099998e-36,MFSD6
98,ENSG00000152061,,,,,0.00392197275448,,,,,,0.00628562572296,0.00027613059138200004,,RABGAP1L
99,ENSG00000152382,,,,0.000578630556147,2.79899321713e-05,,0.000507982856236,9.024862925489999e-07,,0.00108845743375,2.49279312005e-07,6.55803020581e-08,1.5840927850100003e-08,TADA1
100,ENSG00000153767,,,,,,,3.0538126348200005e-20,2.9260240599700013e-10,,,,,9.126264075239996e-27,GTF2E1
101,ENSG00000154328,,,,,,,,,0.000914391670893,,,,,NEIL2
102,ENSG00000158457,,,,,,,,,2.18165129175e-05,,,,,TSPAN33
103,ENSG00000160683,,,,,,,1.52607931011e-10,0.0013531372763900002,,,,,3.10245095806e-09,CXCR5
104,ENSG00000161328,,,,,,,,,5.287712848989997e-13,,,,,LRRC56
105,ENSG00000161405,,,,,1.3064602643200001e-08,5.05180471774e-10,2.34792586744e-17,1.0193005924200001e-14,8.893208814119992e-128,,,5.11665687805e-15,2.69279378557e-21,IKZF3
106,ENSG00000161513,,,,,,,,,7.40244371247e-06,,,,,FDXR
107,ENSG00000161526,,,,,,,2.47643652716e-06,0.005626573172590001,,,,,3.3298431925800003e-08,SAP30BP
108,ENSG00000161547,,,,,,,,,,,,,0.00848503804097,SRSF2
109,ENSG00000163389,1.0,0.00358974480784,1.0,0.00036277424588300017,1.0,0.00808233548943,1.81322332858e-13,2.70515695808e-13,1.0,0.0029780550910799997,2.54850336488e-06,1.0,4.93183202418e-17,POGLUT1
110,ENSG00000163428,,,,,,,,1.23385797038e-06,,,,,2.8888390689400004e-06,LRRC58
111,ENSG00000163945,,,,,,,,,,,,,0.00131234940268,UVSSA
112,ENSG00000164037,,,,,,,6.264334256559999e-57,2.6704014995999997e-33,,,,,6.605807151689998e-65,SLC9B1
113,ENSG00000164038,,,,,1.30777691601e-05,,,2.15791858898e-10,0.0032411079183299997,,,2.1740640466999996e-09,1.1529872491299996e-12,SLC9B2
114,ENSG00000164039,,,,,0.00125696673693,,,0.00129542014645,,,,0.00041145212275599995,0.0004988314838719999,BDH2
115,ENSG00000164587,,,,,,,0.00045771843470199995,0.0006751575728390001,,,,,5.158996661669999e-06,RPS14
116,ENSG00000165055,,,,,,,,0.00524464110459,,,,,,METTL2B
117,ENSG00000167173,,0.00110850071043,,0.0069921683114499995,,,3.38354659939e-05,0.000153799249309,,1.23967405896e-05,,,7.90239474653e-06,C15orf39
118,ENSG00000167861,,,0.008273312695020001,0.00048811516671499994,,,0.0042321934376700005,,,,3.550803602740001e-06,,4.28815474675e-05,HID1
119,ENSG00000167862,,,,,,,,,0.00279807431741,,,,,MRPL58
120,ENSG00000167863,3.6294870124900004e-08,3.4590959033299997e-09,,0.00024452206184400003,,,1.6679236079e-05,1.53355811178e-05,1.1215781937e-08,7.38521615254e-15,4.12029117158e-05,,1.05165584992e-05,ATP5PD
121,ENSG00000169020,,0.0033815943098299997,,,,,,,0.000638735357376,0.000431994373532,7.609985241699999e-05,,,ATP5ME
122,ENSG00000169375,,,,,,,0.00036987347464999997,4.3611746987300005e-10,2.5496824944799997e-06,,,,9.28875043818e-09,SIN3A
123,ENSG00000171316,,3.5073837390200002e-19,,7.102324809340001e-17,,,3.07807978948e-09,3.09531091013e-09,3.16965872588e-08,9.30459688528e-18,3.50265485412e-17,0.0008279858677939999,4.69992559179e-11,CHD7
124,ENSG00000171992,,0.0055233429393399995,,,,,,,,0.0026986737798400003,,,,SYNPO
125,ENSG00000172057,1.0,5.49770993768e-10,1.0,6.34959248686e-07,0.0020198728061099997,1.0,0.0030668189518699997,1.0,7.32750001138e-30,2.9209568431299998e-08,9.802891578770001e-10,0.0006725470881180001,0.000324437898476,ORMDL3
126,ENSG00000173559,,,,,,,1.48872716525e-05,0.000674623743064,,,,,5.846947579e-09,NABP1
127,ENSG00000173812,,,,,,,,,,,,,0.00758756344746,EIF1
128,ENSG00000173991,,,,,,,0.00818401312736,,,,,,0.0008290428612260001,TCAP
129,ENSG00000174775,,,,,,,,,5.287712848989997e-13,,0.00662835151041,,,HRAS
