,gene_id,hacat_stim_1,hacat_stim_2,hacat_unstim_1,hacat_unstim_2,myla_1,myla_2,naive_T_1,naive_T_2,GM12878,hacat_stim,hacat_unstim,myla,naive_T,transcript_hacat_stim_1,transcript_hacat_stim_2,transcript_hacat_unstim_1,transcript_hacat_unstim_2,transcript_myla_1,transcript_myla_2,transcript_naive_T_1,transcript_naive_T_2,transcript_GM12878,transcript_hacat_stim,transcript_hacat_unstim,transcript_myla,transcript_naive_T,linked_SNP_hacat_stim_1,linked_SNP_hacat_stim_2,linked_SNP_hacat_unstim_1,linked_SNP_hacat_unstim_2,linked_SNP_myla_1,linked_SNP_myla_2,linked_SNP_naive_T_1,linked_SNP_naive_T_2,linked_SNP_GM12878,linked_SNP_hacat_stim,linked_SNP_hacat_unstim,linked_SNP_myla,linked_SNP_naive_T,gene_name
0,ENSG00000019582,,,,,,,3.12880841543e-11,3.1293402993e-17,1.75987702661e-05,,,,6.78530412498e-24,,,,,,,"{'ENST00000518797', 'ENST00000524315', 'ENST00000009530', 'ENST00000377795', 'ENST00000353334'}","{'ENST00000518797', 'ENST00000524315', 'ENST00000009530', 'ENST00000377795', 'ENST00000353334'}","{'ENST00000518797', 'ENST00000524315', 'ENST00000009530', 'ENST00000377795', 'ENST00000353334'}",,,,"{'ENST00000518797', 'ENST00000524315', 'ENST00000009530', 'ENST00000377795', 'ENST00000353334'}",,,,,,,{'rs3792783_rs3792783'},"{'rs6880110_rs3792783', 'rs13160369_rs3792783', 'rs1862364_rs3792783', 'rs6861227_rs3792783', 'rs3792783_rs3792783', 'rs13180950_rs3792783'}","{'rs6880110_rs3792783', 'rs13160369_rs3792783', 'rs1862364_rs3792783', 'rs6861227_rs3792783', 'rs13180950_rs3792783', 'rs3792783_rs3792783'}",,,,"{'rs6880110_rs3792783', 'rs13160369_rs3792783', 'rs1862364_rs3792783', 'rs6861227_rs3792783', 'rs3792783_rs3792783', 'rs13180950_rs3792783'}",CD74
1,ENSG00000031081,,0.00441134775268,,4.49683076929e-05,,,,,1.79498572525e-07,0.00995586191997,0.0029388265541,,,,{'ENST00000482743'},,{'ENST00000264245'},,,,,"{'ENST00000482743', 'ENST00000264245'}",{'ENST00000482743'},{'ENST00000264245'},,,,{'rs71767581_rs9884090'},,"{'rs71767581_rs9884090', 'rs12636784_rs9884090'}",,,,,"{'rs1131265_rs9884090', 'rs12695386_rs9884090', 'rs12636784_rs9884090', 'rs71767581_rs9884090', 'rs12494314_rs9884090', 'rs9834901_rs9884090', 'rs2293370_rs9884090', 'rs9884090_rs9884090'}",{'rs71767581_rs9884090'},"{'rs71767581_rs9884090', 'rs12636784_rs9884090'}",,,ARHGAP31
2,ENSG00000035681,,,,,,,,,,,,,0.000460084642821,,,,,,,,,,,,,"{'ENST00000038176', 'ENST00000427130'}",,,,,,,,,,,,,"{'rs612558_rs685985', 'rs673802_rs685985', 'rs687351_rs685985', 'rs657718_rs685985', 'rs685985_rs685985', 'rs11452056_rs685985', 'rs686852_rs685985'}",NSMAF
3,ENSG00000057657,,8.374584418170001e-19,,0.00230581975774,7.94560323353e-12,6.20128526864e-14,0.00513861644032,1.5436919723700001e-06,3.6233838122199984e-53,1.1411336237999998e-18,,1.99842110649e-21,6.07838356324e-06,,"{'ENST00000450060', 'ENST00000369089'}",,"{'ENST00000648754', 'ENST00000369091', 'ENST00000369089', 'ENST00000450060', 'ENST00000369096', 'ENST00000424894'}","{'ENST00000648754', 'ENST00000369091', 'ENST00000369089', 'ENST00000450060', 'ENST00000369096', 'ENST00000424894'}","{'ENST00000450060', 'ENST00000369089'}","{'ENST00000450060', 'ENST00000369089'}","{'ENST00000450060', 'ENST00000369089'}","{'ENST00000648754', 'ENST00000369091', 'ENST00000369089', 'ENST00000450060', 'ENST00000369096', 'ENST00000424894'}","{'ENST00000450060', 'ENST00000369089'}",,"{'ENST00000648754', 'ENST00000369091', 'ENST00000369089', 'ENST00000450060', 'ENST00000369096', 'ENST00000424894'}","{'ENST00000450060', 'ENST00000369089'}",,"{'rs2284194_rs633724', 'rs2284192_rs633724', 'rs34507159_rs633724'}",,"{'rs2284194_rs633724', 'rs2284192_rs633724', 'rs34507159_rs633724'}","{'rs2284194_rs633724', 'rs34507159_rs633724', 'rs2743565_rs633724', 'rs3840138_rs633724', 'rs646351_rs633724', 'rs5878873_rs633724', 'rs2284192_rs633724'}","{'rs2284194_rs633724', 'rs2284192_rs633724', 'rs3840138_rs633724', 'rs34507159_rs633724'}","{'rs2284194_rs633724', 'rs2284192_rs633724', 'rs34507159_rs633724'}","{'rs2284194_rs633724', 'rs2284192_rs633724', 'rs34507159_rs633724'}","{'rs116990803_rs633724', 'rs2245214_rs633724', 'rs2743556_rs633724', 'rs2743565_rs633724', 'rs3840138_rs633724', 'rs646351_rs633724', 'rs5878873_rs633724'}","{'rs2284194_rs633724', 'rs2284192_rs633724', 'rs34507159_rs633724'}",,"{'rs116990803_rs633724', 'rs2284194_rs633724', 'rs34507159_rs633724', 'rs662114_rs633724', 'rs2743565_rs633724', 'rs3840138_rs633724', 'rs646351_rs633724', 'rs5878873_rs633724', 'rs2284192_rs633724'}","{'rs2284194_rs633724', 'rs2284192_rs633724', 'rs34507159_rs633724'}",PRDM1
4,ENSG00000064419,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.87481705157e-08,1.0,1.0,1.0,1.0,,"{'ENST00000482320', 'ENST00000471234', 'ENST00000627585'}","{'ENST00000482320', 'ENST00000471234', 'ENST00000627585'}","{'ENST00000482320', 'ENST00000471234', 'ENST00000627585'}","{'ENST00000482320', 'ENST00000471234', 'ENST00000627585'}","{'ENST00000482320', 'ENST00000471234', 'ENST00000627585'}","{'ENST00000482320', 'ENST00000471234', 'ENST00000627585'}","{'ENST00000482320', 'ENST00000471234', 'ENST00000627585'}","{'ENST00000265388', 'ENST00000471234', 'ENST00000471166', 'ENST00000627585', 'ENST00000482320'}","{'ENST00000482320', 'ENST00000471234', 'ENST00000627585'}","{'ENST00000482320', 'ENST00000471234', 'ENST00000627585'}","{'ENST00000482320', 'ENST00000471234', 'ENST00000627585'}","{'ENST00000482320', 'ENST00000471234', 'ENST00000627585'}",,{'rs13239597_rs36073657'},{'rs13239597_rs36073657'},{'rs13239597_rs36073657'},{'rs13239597_rs36073657'},{'rs13239597_rs36073657'},{'rs13239597_rs36073657'},{'rs13239597_rs36073657'},"{'rs36073657_rs36073657', 'rs7807018_rs12155080', 'rs13238352_rs36073657', 'rs10954215_rs12155080', 'rs34725944_rs36073657', 'rs13227075_rs36073657', 'rs4731536_rs12155080', 'rs35234849_rs36073657', 'rs12531054_rs36073657', 'rs4731534_rs12155080', 'rs12539741_rs36073657', 'rs10229001_rs12155080', 'rs4731533_rs12155080', 'rs11767711_rs12155080', 'rs13239597_rs36073657', 'rs71312830_rs36073657'}",{'rs13239597_rs36073657'},{'rs13239597_rs36073657'},{'rs13239597_rs36073657'},{'rs13239597_rs36073657'},TNPO3
5,ENSG00000065518,,,,,,,0.00460613485524,3.24397132749e-10,,,,,2.8493299761599997e-09,,,,,,,"{'ENST00000184266', 'ENST00000492739', 'ENST00000485064'}","{'ENST00000184266', 'ENST00000492739', 'ENST00000485064'}",,,,,"{'ENST00000184266', 'ENST00000492739', 'ENST00000485064'}",,,,,,,"{'rs71767581_rs9884090', 'rs12636784_rs9884090'}","{'rs71767581_rs9884090', 'rs12636784_rs9884090'}",,,,,"{'rs1131265_rs9884090', 'rs12695386_rs9884090', 'rs12636784_rs9884090', 'rs71767581_rs9884090', 'rs2293370_rs9884090'}",NDUFB4
6,ENSG00000067191,,,,,0.000190109776213,,,,,,,0.0015761658521,,,,,,"{'ENST00000394303', 'ENST00000344140', 'ENST00000622445', 'ENST00000394310'}",,,,,,,"{'ENST00000394303', 'ENST00000344140', 'ENST00000622445', 'ENST00000394310'}",,,,,,"{'rs9747973_rs883770', 'rs2941522_rs883770'}",,,,,,,"{'rs9747973_rs883770', 'rs2941522_rs883770'}",,CACNB1
7,ENSG00000067221,,,,,,,,,0.0014047192222499999,,,,,,,,,,,,,"{'ENST00000316900', 'ENST00000566081', 'ENST00000562453', 'ENST00000359750', 'ENST00000541638', 'ENST00000316911', 'ENST00000565240', 'ENST00000564777', 'ENST00000561656'}",,,,,,,,,,,,,"{'rs1378941_rs1378942', 'rs1378942_rs1378942', 'rs12905199_rs1378942', 'rs2168518_rs1378942'}",,,,,STOML1
8,ENSG00000068885,,2.44129631921e-09,,,5.39480983615e-05,,,,7.20234187692e-17,1.45402128605e-13,0.0037828589497100004,8.31845185975e-08,,,"{'ENST00000486856', 'ENST00000489004', 'ENST00000496589', 'ENST00000478370', 'ENST00000498409', 'ENST00000475677', 'ENST00000326448', 'ENST00000478536', 'ENST00000465537', 'ENST00000468218'}",,,"{'ENST00000486856', 'ENST00000489004', 'ENST00000496589', 'ENST00000478370', 'ENST00000498409', 'ENST00000475677', 'ENST00000326448', 'ENST00000478536', 'ENST00000465537', 'ENST00000468218'}",,,,"{'ENST00000486856', 'ENST00000489004', 'ENST00000496589', 'ENST00000478370', 'ENST00000498409', 'ENST00000475677', 'ENST00000326448', 'ENST00000478536', 'ENST00000465537', 'ENST00000468218'}","{'ENST00000486856', 'ENST00000489004', 'ENST00000496589', 'ENST00000478370', 'ENST00000498409', 'ENST00000475677', 'ENST00000326448', 'ENST00000478536', 'ENST00000465537', 'ENST00000468218'}","{'ENST00000486856', 'ENST00000489004', 'ENST00000496589', 'ENST00000478370', 'ENST00000498409', 'ENST00000475677', 'ENST00000326448', 'ENST00000478536', 'ENST00000465537', 'ENST00000468218'}","{'ENST00000486856', 'ENST00000489004', 'ENST00000496589', 'ENST00000478370', 'ENST00000498409', 'ENST00000475677', 'ENST00000326448', 'ENST00000478536', 'ENST00000465537', 'ENST00000468218'}",,,"{'rs588998_rs589446', 'rs112992337_rs589446', 'rs9845010_rs589446', 'rs600519_rs589446', 'rs526734_rs589446', 'rs4580600_rs589446', 'rs11716424_rs589446', 'rs6808498_rs589446', 'rs484600_rs589446', 'rs62792461_rs589446', 'rs522127_rs589446', 'rs2647928_rs589446', 'rs6808518_rs589446', 'rs571099_rs589446', 'rs589446_rs589446', 'rs11383537_rs589446', 'rs11708713_rs589446', 'rs6771363_rs589446', 'rs564799_rs589446', 'rs55843920_rs589446', 'rs140360143_rs589446', 'rs547875_rs589446', 'rs589545_rs589446', 'rs587422_rs589446', 'rs2647930_rs589446', 'rs4680539_rs589446', 'rs480913_rs589446', 'rs545232_rs589446', 'rs2936302_rs589446', 'rs480134_rs589446', 'rs485499_rs589446', 'rs564976_rs589446', 'rs7640862_rs589446', 'rs2914116_rs589446', 'rs574808_rs589446', 'rs202034560_rs589446', 'rs6441289_rs589446', 'rs4680538_rs589446', 'rs2366643_rs589446', 'rs483714_rs589446', 'rs2647931_rs589446', 'rs62270441_rs589446', 'rs6441288_rs589446', 'rs545143_rs589446', 'rs491966_rs589446', 'rs1874886_rs589446', 'rs523886_rs589446', 'rs2936303_rs589446', 'rs629209_rs589446', 'rs6441290_rs589446', 'rs669003_rs589446', 'rs485789_rs589446', 'rs548018_rs589446', 'rs1651081_rs589446', 'rs579079_rs589446', 'rs11716451_rs589446', 'rs5853885_rs589446', 'rs369072190_rs589446', 'rs2366644_rs589446', 'rs586094_rs589446'}",,,"{'rs485499_rs589446', 'rs2647928_rs589446', 'rs112992337_rs589446'}",,,,"{'rs588998_rs589446', 'rs112992337_rs589446', 'rs9845010_rs589446', 'rs600519_rs589446', 'rs526734_rs589446', 'rs4580600_rs589446', 'rs11716424_rs589446', 'rs6808498_rs589446', 'rs484600_rs589446', 'rs62792461_rs589446', 'rs522127_rs589446', 'rs4679867_rs589446', 'rs2647928_rs589446', 'rs6808518_rs589446', 'rs571099_rs589446', 'rs589446_rs589446', 'rs11383537_rs589446', 'rs11708713_rs589446', 'rs6771363_rs589446', 'rs564799_rs589446', 'rs55843920_rs589446', 'rs140360143_rs589446', 'rs547875_rs589446', 'rs589545_rs589446', 'rs587422_rs589446', 'rs2647930_rs589446', 'rs4680539_rs589446', 'rs480913_rs589446', 'rs545232_rs589446', 'rs2936302_rs589446', 'rs480134_rs589446', 'rs7640862_rs589446', 'rs564976_rs589446', 'rs2914116_rs589446', 'rs2647931_rs589446', 'rs574808_rs589446', 'rs202034560_rs589446', 'rs6441289_rs589446', 'rs4680538_rs589446', 'rs2366643_rs589446', 'rs483714_rs589446', 'rs62270441_rs589446', 'rs485499_rs589446', 'rs6441288_rs589446', 'rs545143_rs589446', 'rs491966_rs589446', 'rs1874886_rs589446', 'rs523886_rs589446', 'rs2936303_rs589446', 'rs629209_rs589446', 'rs63121660_rs589446', 'rs6441290_rs589446', 'rs669003_rs589446', 'rs485789_rs589446', 'rs548018_rs589446', 'rs1651081_rs589446', 'rs579079_rs589446', 'rs11716451_rs589446', 'rs5853885_rs589446', 'rs369072190_rs589446', 'rs2366644_rs589446', 'rs586094_rs589446'}","{'rs588998_rs589446', 'rs112992337_rs589446', 'rs9845010_rs589446', 'rs600519_rs589446', 'rs526734_rs589446', 'rs4580600_rs589446', 'rs11716424_rs589446', 'rs6808498_rs589446', 'rs484600_rs589446', 'rs62792461_rs589446', 'rs522127_rs589446', 'rs2647928_rs589446', 'rs6808518_rs589446', 'rs571099_rs589446', 'rs589446_rs589446', 'rs11383537_rs589446', 'rs11708713_rs589446', 'rs6771363_rs589446', 'rs564799_rs589446', 'rs55843920_rs589446', 'rs140360143_rs589446', 'rs547875_rs589446', 'rs589545_rs589446', 'rs587422_rs589446', 'rs2647930_rs589446', 'rs4680539_rs589446', 'rs480913_rs589446', 'rs545232_rs589446', 'rs2936302_rs589446', 'rs480134_rs589446', 'rs485499_rs589446', 'rs564976_rs589446', 'rs7640862_rs589446', 'rs2914116_rs589446', 'rs574808_rs589446', 'rs202034560_rs589446', 'rs6441289_rs589446', 'rs4680538_rs589446', 'rs2366643_rs589446', 'rs483714_rs589446', 'rs2647931_rs589446', 'rs62270441_rs589446', 'rs6441288_rs589446', 'rs545143_rs589446', 'rs491966_rs589446', 'rs1874886_rs589446', 'rs523886_rs589446', 'rs2936303_rs589446', 'rs629209_rs589446', 'rs6441290_rs589446', 'rs669003_rs589446', 'rs485789_rs589446', 'rs548018_rs589446', 'rs1651081_rs589446', 'rs579079_rs589446', 'rs11716451_rs589446', 'rs5853885_rs589446', 'rs369072190_rs589446', 'rs2366644_rs589446', 'rs586094_rs589446'}","{'rs485499_rs589446', 'rs2647928_rs589446', 'rs112992337_rs589446'}","{'rs485499_rs589446', 'rs2647928_rs589446', 'rs112992337_rs589446'}",,IFT80
9,ENSG00000070047,,1.64981861831e-05,,2.42839787253e-05,,,0.00024171156608099998,0.0021471744034,3.4764184389200003e-17,2.12207121009e-05,5.76259374074e-07,0.00356368736179,2.37160113386e-06,,"{'ENST00000264555', 'ENST00000416188', 'ENST00000533464', 'ENST00000413872'}",,"{'ENST00000264555', 'ENST00000416188', 'ENST00000533464', 'ENST00000413872'}",,,"{'ENST00000264555', 'ENST00000416188', 'ENST00000533464', 'ENST00000413872'}","{'ENST00000264555', 'ENST00000416188', 'ENST00000533464', 'ENST00000413872'}","{'ENST00000264555', 'ENST00000416188', 'ENST00000533464', 'ENST00000413872'}","{'ENST00000264555', 'ENST00000416188', 'ENST00000533464', 'ENST00000413872'}","{'ENST00000264555', 'ENST00000416188', 'ENST00000533464', 'ENST00000413872'}","{'ENST00000264555', 'ENST00000416188', 'ENST00000533464', 'ENST00000413872'}","{'ENST00000264555', 'ENST00000416188', 'ENST00000533464', 'ENST00000413872'}",,"{'rs2740380_rs6598008', 'rs6598008_rs6598008', 'rs2740375_rs6598008'}",,"{'rs2740380_rs6598008', 'rs6598008_rs6598008', 'rs2740375_rs6598008'}",,,"{'rs2740380_rs6598008', 'rs6598008_rs6598008', 'rs2740375_rs6598008'}","{'rs2740380_rs6598008', 'rs6598008_rs6598008', 'rs2740375_rs6598008'}","{'rs2740380_rs6598008', 'rs6598008_rs6598008', 'rs2740375_rs6598008'}","{'rs2740380_rs6598008', 'rs6598008_rs6598008', 'rs2740375_rs6598008'}","{'rs2740380_rs6598008', 'rs6598008_rs6598008', 'rs2740375_rs6598008'}","{'rs2740380_rs6598008', 'rs6598008_rs6598008', 'rs2740375_rs6598008'}","{'rs2740380_rs6598008', 'rs6598008_rs6598008', 'rs2740375_rs6598008'}",PHRF1
