,gene_id,transcript_id,transcript_hacat_stim_1,linked_SNP_hacat_stim_1,hacat_stim_1,transcript_hacat_stim_2,linked_SNP_hacat_stim_2,hacat_stim_2,transcript_hacat_unstim_1,linked_SNP_hacat_unstim_1,hacat_unstim_1,transcript_hacat_unstim_2,linked_SNP_hacat_unstim_2,hacat_unstim_2,transcript_myla_1,linked_SNP_myla_1,myla_1,transcript_myla_2,linked_SNP_myla_2,myla_2,transcript_naive_T_1,linked_SNP_naive_T_1,naive_T_1,transcript_naive_T_2,linked_SNP_naive_T_2,naive_T_2,transcript_GM12878,linked_SNP_GM12878,GM12878,transcript_hacat_stim,linked_SNP_hacat_stim,hacat_stim,transcript_hacat_unstim,linked_SNP_hacat_unstim,hacat_unstim,transcript_myla,linked_SNP_myla,myla,transcript_naive_T,linked_SNP_naive_T,naive_T,gene_name
0,ENSG00000073605,,"{'ENST00000394179', 'ENST00000360317', 'ENST00000309481', 'ENST00000520542', 'ENST00000394175', 'ENST00000418519'}","{'rs201389301_rs883770', 'rs9303281_rs883770', 'rs9303280_rs883770', 'rs7219923_rs883770', 'rs7224129_rs883770', 'rs58989791_rs883770'}",1.0,"{'ENST00000394179', 'ENST00000360317', 'ENST00000309481', 'ENST00000520542', 'ENST00000394175', 'ENST00000418519'}","{'rs201389301_rs883770', 'rs9303281_rs883770', 'rs9303280_rs883770', 'rs7219923_rs883770', 'rs7224129_rs883770', 'rs58989791_rs883770'}",1.0,,,,,,,"{'ENST00000394179', 'ENST00000360317', 'ENST00000309481', 'ENST00000520542', 'ENST00000394175', 'ENST00000418519'}","{'rs201389301_rs883770', 'rs9303281_rs883770', 'rs9303280_rs883770', 'rs7219923_rs883770', 'rs7224129_rs883770', 'rs58989791_rs883770'}",1.0,"{'ENST00000394179', 'ENST00000360317', 'ENST00000309481', 'ENST00000520542', 'ENST00000394175', 'ENST00000418519'}","{'rs201389301_rs883770', 'rs9303281_rs883770', 'rs9303280_rs883770', 'rs7219923_rs883770', 'rs7224129_rs883770', 'rs58989791_rs883770'}",1.0,"{'ENST00000394179', 'ENST00000360317', 'ENST00000309481', 'ENST00000520542', 'ENST00000394175', 'ENST00000418519'}","{'rs201389301_rs883770', 'rs9303281_rs883770', 'rs9303280_rs883770', 'rs7219923_rs883770', 'rs7224129_rs883770'}",1.0,"{'ENST00000394179', 'ENST00000360317', 'ENST00000309481', 'ENST00000520542', 'ENST00000394175', 'ENST00000418519'}","{'rs201389301_rs883770', 'rs9303281_rs883770', 'rs9303280_rs883770', 'rs7219923_rs883770', 'rs7224129_rs883770'}",1.0,"{'ENST00000394179', 'ENST00000360317', 'ENST00000309481', 'ENST00000520542', 'ENST00000394175', 'ENST00000418519'}","{'rs201389301_rs883770', 'rs9303281_rs883770', 'rs9303280_rs883770', 'rs7219923_rs883770', 'rs7224129_rs883770', 'rs58989791_rs883770'}",1.0,"{'ENST00000394179', 'ENST00000360317', 'ENST00000309481', 'ENST00000520542', 'ENST00000394175', 'ENST00000418519'}","{'rs201389301_rs883770', 'rs9303281_rs883770', 'rs9303280_rs883770', 'rs7219923_rs883770', 'rs7224129_rs883770', 'rs58989791_rs883770'}",1.0,,,,"{'ENST00000394179', 'ENST00000360317', 'ENST00000309481', 'ENST00000520542', 'ENST00000394175', 'ENST00000418519'}","{'rs201389301_rs883770', 'rs9303281_rs883770', 'rs9303280_rs883770', 'rs7219923_rs883770', 'rs7224129_rs883770', 'rs58989791_rs883770'}",1.0,"{'ENST00000394179', 'ENST00000360317', 'ENST00000309481', 'ENST00000520542', 'ENST00000394175', 'ENST00000418519'}","{'rs201389301_rs883770', 'rs9303281_rs883770', 'rs9303280_rs883770', 'rs7219923_rs883770', 'rs7224129_rs883770'}",1.0,GSDMB
1,ENSG00000103653,,{'ENST00000567571'},{'rs1378941_rs1378942'},1.0,{'ENST00000567571'},{'rs1378941_rs1378942'},1.0,{'ENST00000567571'},{'rs1378941_rs1378942'},1.0,"{'ENST00000569915', 'ENST00000567571'}","{'rs1378941_rs1378942', 'rs12898997_rs1378942', 'rs2168518_rs1378942'}",1.0,{'ENST00000567571'},"{'rs1378941_rs1378942', 'rs2168518_rs1378942'}",1.0,{'ENST00000567571'},"{'rs1378941_rs1378942', 'rs2168518_rs1378942'}",1.0,"{'ENST00000569915', 'ENST00000567571'}","{'rs1378941_rs1378942', 'rs12898997_rs1378942', 'rs2168518_rs1378942'}",1.0,"{'ENST00000569915', 'ENST00000567571'}","{'rs1378941_rs1378942', 'rs12898997_rs1378942', 'rs2168518_rs1378942'}",1.0,"{'ENST00000569915', 'ENST00000567571'}","{'rs1378941_rs1378942', 'rs12898997_rs1378942', 'rs2168518_rs1378942'}",1.0,{'ENST00000567571'},{'rs1378941_rs1378942'},1.0,"{'ENST00000569915', 'ENST00000567571'}","{'rs1378941_rs1378942', 'rs12898997_rs1378942', 'rs2168518_rs1378942'}",1.0,{'ENST00000567571'},"{'rs1378941_rs1378942', 'rs2168518_rs1378942'}",1.0,"{'ENST00000569915', 'ENST00000567571'}","{'rs1378941_rs1378942', 'rs12898997_rs1378942', 'rs2168518_rs1378942'}",1.0,CSK
2,ENSG00000109320,,"{'ENST00000394820', 'ENST00000507079', 'ENST00000511926', 'ENST00000505458', 'ENST00000226574'}",{'rs2272676_rs230534'},1.0,"{'ENST00000394820', 'ENST00000507079', 'ENST00000511926', 'ENST00000505458', 'ENST00000226574'}",{'rs2272676_rs230534'},1.0,"{'ENST00000394820', 'ENST00000507079', 'ENST00000511926', 'ENST00000505458', 'ENST00000226574'}",{'rs2272676_rs230534'},1.0,"{'ENST00000394820', 'ENST00000507079', 'ENST00000511926', 'ENST00000505458', 'ENST00000226574'}",{'rs2272676_rs230534'},1.0,"{'ENST00000394820', 'ENST00000507079', 'ENST00000511926', 'ENST00000505458', 'ENST00000226574'}",{'rs2272676_rs230534'},1.0,"{'ENST00000394820', 'ENST00000507079', 'ENST00000511926', 'ENST00000505458', 'ENST00000226574'}",{'rs2272676_rs230534'},1.0,"{'ENST00000394820', 'ENST00000507079', 'ENST00000511926', 'ENST00000505458', 'ENST00000226574'}",{'rs2272676_rs230534'},1.0,"{'ENST00000394820', 'ENST00000507079', 'ENST00000511926', 'ENST00000505458', 'ENST00000226574'}",{'rs2272676_rs230534'},1.0,"{'ENST00000394820', 'ENST00000507079', 'ENST00000511926', 'ENST00000505458', 'ENST00000226574'}",{'rs2272676_rs230534'},1.0,"{'ENST00000394820', 'ENST00000507079', 'ENST00000511926', 'ENST00000505458', 'ENST00000226574'}",{'rs2272676_rs230534'},1.0,"{'ENST00000394820', 'ENST00000507079', 'ENST00000511926', 'ENST00000505458', 'ENST00000226574'}",{'rs2272676_rs230534'},1.0,"{'ENST00000394820', 'ENST00000507079', 'ENST00000511926', 'ENST00000505458', 'ENST00000226574'}",{'rs2272676_rs230534'},1.0,"{'ENST00000394820', 'ENST00000507079', 'ENST00000511926', 'ENST00000505458', 'ENST00000226574'}",{'rs2272676_rs230534'},1.0,NFKB1
3,ENSG00000110367,,"{'ENST00000620157', 'ENST00000526070', 'ENST00000534980', 'ENST00000617381'}",{'rs57494551_rs11217020'},1.0,"{'ENST00000620157', 'ENST00000526070', 'ENST00000534980', 'ENST00000617381'}",{'rs57494551_rs11217020'},1.0,"{'ENST00000620157', 'ENST00000526070', 'ENST00000534980', 'ENST00000617381'}",{'rs57494551_rs11217020'},1.0,"{'ENST00000620157', 'ENST00000526070', 'ENST00000534980', 'ENST00000617381'}",{'rs57494551_rs11217020'},1.0,"{'ENST00000620157', 'ENST00000526070', 'ENST00000534980', 'ENST00000617381'}",{'rs57494551_rs11217020'},1.0,"{'ENST00000620157', 'ENST00000526070', 'ENST00000534980', 'ENST00000617381'}",{'rs57494551_rs11217020'},1.0,"{'ENST00000620157', 'ENST00000526070', 'ENST00000534980', 'ENST00000617381'}",{'rs57494551_rs11217020'},1.0,"{'ENST00000620157', 'ENST00000526070', 'ENST00000534980', 'ENST00000617381'}",{'rs57494551_rs11217020'},1.0,"{'ENST00000620157', 'ENST00000526070', 'ENST00000534980', 'ENST00000617381'}",{'rs57494551_rs11217020'},1.0,"{'ENST00000620157', 'ENST00000526070', 'ENST00000534980', 'ENST00000617381'}",{'rs57494551_rs11217020'},1.0,"{'ENST00000620157', 'ENST00000526070', 'ENST00000534980', 'ENST00000617381'}",{'rs57494551_rs11217020'},1.0,"{'ENST00000620157', 'ENST00000526070', 'ENST00000534980', 'ENST00000617381'}",{'rs57494551_rs11217020'},1.0,"{'ENST00000620157', 'ENST00000526070', 'ENST00000534980', 'ENST00000617381'}",{'rs57494551_rs11217020'},1.0,DDX6
4,ENSG00000125445,,"{'ENST00000579761', 'ENST00000579002', 'ENST00000581993', 'ENST00000245539', 'ENST00000584678'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579761', 'ENST00000579002', 'ENST00000581993', 'ENST00000245539', 'ENST00000584678'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579761', 'ENST00000579002', 'ENST00000581993', 'ENST00000245539', 'ENST00000584678'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579761', 'ENST00000579002', 'ENST00000581993', 'ENST00000245539', 'ENST00000584678'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579761', 'ENST00000579002', 'ENST00000581993', 'ENST00000245539', 'ENST00000584678'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579761', 'ENST00000579002', 'ENST00000581993', 'ENST00000245539', 'ENST00000584678'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579761', 'ENST00000579002', 'ENST00000581993', 'ENST00000245539', 'ENST00000584678'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579761', 'ENST00000579002', 'ENST00000581993', 'ENST00000245539', 'ENST00000584678'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579761', 'ENST00000579002', 'ENST00000581993', 'ENST00000245539', 'ENST00000584678'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579761', 'ENST00000579002', 'ENST00000581993', 'ENST00000245539', 'ENST00000584678'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579761', 'ENST00000579002', 'ENST00000581993', 'ENST00000245539', 'ENST00000584678'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579761', 'ENST00000579002', 'ENST00000581993', 'ENST00000245539', 'ENST00000584678'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579761', 'ENST00000579002', 'ENST00000581993', 'ENST00000245539', 'ENST00000584678'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,MRPS7
5,ENSG00000125447,,"{'ENST00000579743', 'ENST00000537686', 'ENST00000580799', 'ENST00000582486', 'ENST00000578348', 'ENST00000582717', 'ENST00000538886'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579743', 'ENST00000537686', 'ENST00000580799', 'ENST00000582486', 'ENST00000578348', 'ENST00000582717', 'ENST00000538886'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579743', 'ENST00000537686', 'ENST00000580799', 'ENST00000582486', 'ENST00000578348', 'ENST00000582717', 'ENST00000538886'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579743', 'ENST00000537686', 'ENST00000580799', 'ENST00000582486', 'ENST00000578348', 'ENST00000582717', 'ENST00000538886'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579743', 'ENST00000537686', 'ENST00000580799', 'ENST00000582486', 'ENST00000578348', 'ENST00000582717', 'ENST00000538886'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579743', 'ENST00000537686', 'ENST00000580799', 'ENST00000582486', 'ENST00000578348', 'ENST00000582717', 'ENST00000538886'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579743', 'ENST00000537686', 'ENST00000580799', 'ENST00000582486', 'ENST00000578348', 'ENST00000582717', 'ENST00000538886'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579743', 'ENST00000537686', 'ENST00000580799', 'ENST00000582486', 'ENST00000578348', 'ENST00000582717', 'ENST00000538886'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579743', 'ENST00000537686', 'ENST00000580799', 'ENST00000582486', 'ENST00000578348', 'ENST00000582717', 'ENST00000538886'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579743', 'ENST00000537686', 'ENST00000580799', 'ENST00000582486', 'ENST00000578348', 'ENST00000582717', 'ENST00000538886'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579743', 'ENST00000537686', 'ENST00000580799', 'ENST00000582486', 'ENST00000578348', 'ENST00000582717', 'ENST00000538886'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579743', 'ENST00000537686', 'ENST00000580799', 'ENST00000582486', 'ENST00000578348', 'ENST00000582717', 'ENST00000538886'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,"{'ENST00000579743', 'ENST00000537686', 'ENST00000580799', 'ENST00000582486', 'ENST00000578348', 'ENST00000582717', 'ENST00000538886'}","{'rs62085969_rs1005714', 'rs10539706_rs1005714', 'rs6501772_rs1005714', 'rs8075276_rs1005714', 'rs36039201_rs1005714', 'rs2279161_rs1005714'}",1.0,GGA3
6,ENSG00000125450,,"{'ENST00000579298', 'ENST00000579324', 'ENST00000583569', 'ENST00000245544'}","{'rs2291026_rs1005714', 'rs112679822_rs1005714'}",1.0,"{'ENST00000579298', 'ENST00000579324', 'ENST00000583569', 'ENST00000245544'}","{'rs2291026_rs1005714', 'rs112679822_rs1005714'}",1.0,"{'ENST00000579298', 'ENST00000579324', 'ENST00000583569', 'ENST00000245544'}","{'rs2291026_rs1005714', 'rs112679822_rs1005714'}",1.0,"{'ENST00000579298', 'ENST00000579324', 'ENST00000583569', 'ENST00000245544'}","{'rs2291026_rs1005714', 'rs112679822_rs1005714'}",1.0,"{'ENST00000579298', 'ENST00000579324', 'ENST00000583569', 'ENST00000245544'}","{'rs2291026_rs1005714', 'rs112679822_rs1005714'}",1.0,"{'ENST00000579298', 'ENST00000583569', 'ENST00000245544', 'ENST00000540768', 'ENST00000579324'}","{'rs2291026_rs1005714', 'rs1005714_rs1005714', 'rs112679822_rs1005714'}",1.0,"{'ENST00000579298', 'ENST00000579324', 'ENST00000583569', 'ENST00000245544'}","{'rs2291026_rs1005714', 'rs112679822_rs1005714'}",1.0,"{'ENST00000579298', 'ENST00000579324', 'ENST00000583569', 'ENST00000245544'}","{'rs2291026_rs1005714', 'rs112679822_rs1005714'}",1.0,"{'ENST00000579298', 'ENST00000579324', 'ENST00000583569', 'ENST00000245544'}","{'rs2291026_rs1005714', 'rs112679822_rs1005714'}",1.0,"{'ENST00000579298', 'ENST00000579324', 'ENST00000583569', 'ENST00000245544'}","{'rs2291026_rs1005714', 'rs112679822_rs1005714'}",1.0,"{'ENST00000579298', 'ENST00000579324', 'ENST00000583569', 'ENST00000245544'}","{'rs2291026_rs1005714', 'rs112679822_rs1005714'}",1.0,"{'ENST00000579298', 'ENST00000583569', 'ENST00000245544', 'ENST00000540768', 'ENST00000579324'}","{'rs2291026_rs1005714', 'rs1005714_rs1005714', 'rs1005713_rs1005714', 'rs112679822_rs1005714'}",1.0,"{'ENST00000579298', 'ENST00000579324', 'ENST00000583569', 'ENST00000245544'}","{'rs2291026_rs1005714', 'rs112679822_rs1005714'}",1.0,NUP85
7,ENSG00000125457,,"{'ENST00000579194', 'ENST00000245551', 'ENST00000581777', 'ENST00000580571', 'ENST00000325102', 'ENST00000577542', 'ENST00000649805', 'ENST00000579297', 'ENST00000579612', 'ENST00000580717', 'ENST00000578305'}",{'rs3809715_rs1005714'},1.0,"{'ENST00000579194', 'ENST00000245551', 'ENST00000581777', 'ENST00000580571', 'ENST00000325102', 'ENST00000577542', 'ENST00000649805', 'ENST00000579297', 'ENST00000579612', 'ENST00000580717', 'ENST00000578305'}",{'rs3809715_rs1005714'},1.0,"{'ENST00000579194', 'ENST00000245551', 'ENST00000581777', 'ENST00000580571', 'ENST00000325102', 'ENST00000577542', 'ENST00000649805', 'ENST00000579297', 'ENST00000579612', 'ENST00000580717', 'ENST00000578305'}",{'rs3809715_rs1005714'},1.0,"{'ENST00000579194', 'ENST00000245551', 'ENST00000581777', 'ENST00000580571', 'ENST00000325102', 'ENST00000577542', 'ENST00000649805', 'ENST00000579297', 'ENST00000579612', 'ENST00000580717', 'ENST00000578305'}",{'rs3809715_rs1005714'},1.0,"{'ENST00000579194', 'ENST00000245551', 'ENST00000581777', 'ENST00000580571', 'ENST00000325102', 'ENST00000577542', 'ENST00000649805', 'ENST00000579297', 'ENST00000579612', 'ENST00000580717', 'ENST00000578305'}",{'rs3809715_rs1005714'},1.0,"{'ENST00000579194', 'ENST00000245551', 'ENST00000581777', 'ENST00000580571', 'ENST00000325102', 'ENST00000577542', 'ENST00000649805', 'ENST00000579297', 'ENST00000579612', 'ENST00000580717', 'ENST00000578305'}",{'rs3809715_rs1005714'},1.0,"{'ENST00000579194', 'ENST00000245551', 'ENST00000581777', 'ENST00000580571', 'ENST00000325102', 'ENST00000577542', 'ENST00000649805', 'ENST00000579297', 'ENST00000579612', 'ENST00000580717', 'ENST00000578305'}",{'rs3809715_rs1005714'},1.0,"{'ENST00000579194', 'ENST00000245551', 'ENST00000581777', 'ENST00000580571', 'ENST00000325102', 'ENST00000577542', 'ENST00000649805', 'ENST00000579297', 'ENST00000579612', 'ENST00000580717', 'ENST00000578305'}",{'rs3809715_rs1005714'},1.0,"{'ENST00000579194', 'ENST00000245551', 'ENST00000581777', 'ENST00000580571', 'ENST00000325102', 'ENST00000577542', 'ENST00000649805', 'ENST00000579297', 'ENST00000579612', 'ENST00000580717', 'ENST00000578305'}",{'rs3809715_rs1005714'},1.0,"{'ENST00000579194', 'ENST00000245551', 'ENST00000581777', 'ENST00000580571', 'ENST00000325102', 'ENST00000577542', 'ENST00000649805', 'ENST00000579297', 'ENST00000579612', 'ENST00000580717', 'ENST00000578305'}",{'rs3809715_rs1005714'},1.0,"{'ENST00000579194', 'ENST00000245551', 'ENST00000581777', 'ENST00000580571', 'ENST00000325102', 'ENST00000577542', 'ENST00000649805', 'ENST00000579297', 'ENST00000579612', 'ENST00000580717', 'ENST00000578305'}",{'rs3809715_rs1005714'},1.0,"{'ENST00000579194', 'ENST00000245551', 'ENST00000581777', 'ENST00000580571', 'ENST00000325102', 'ENST00000577542', 'ENST00000649805', 'ENST00000579297', 'ENST00000579612', 'ENST00000580717', 'ENST00000578305'}",{'rs3809715_rs1005714'},1.0,"{'ENST00000579194', 'ENST00000245551', 'ENST00000581777', 'ENST00000580571', 'ENST00000325102', 'ENST00000577542', 'ENST00000649805', 'ENST00000579297', 'ENST00000579612', 'ENST00000580717', 'ENST00000578305'}",{'rs3809715_rs1005714'},1.0,MIF4GD
8,ENSG00000127415,,,,,,,,,,,,,,,,,,,,"{'ENST00000247933', 'ENST00000502910', 'ENST00000504568'}","{'rs11248061_rs11724804', 'rs4690220_rs11724804'}",1.0,"{'ENST00000247933', 'ENST00000502910', 'ENST00000504568'}","{'rs11248061_rs11724804', 'rs4690220_rs11724804'}",1.0,,,,,,,,,,,,,"{'ENST00000247933', 'ENST00000502910', 'ENST00000504568'}","{'rs11248061_rs11724804', 'rs4690220_rs11724804'}",1.0,IDUA
9,ENSG00000138386,,"{'ENST00000423376', 'ENST00000423076'}",{'rs33999198_rs16832798'},1.0,"{'ENST00000448811', 'ENST00000423376', 'ENST00000423076'}","{'rs1860849_rs16832798', 'rs4853724_rs16832798', 'rs12467273_rs16832798', 'rs33999198_rs16832798'}",1.0,{'ENST00000448811'},{'rs4853724_rs16832798'},1.0,"{'ENST00000448811', 'ENST00000423376', 'ENST00000423076'}","{'rs1860849_rs16832798', 'rs4853724_rs16832798', 'rs12467273_rs16832798', 'rs33999198_rs16832798'}",1.0,,,,,,,{'ENST00000448811'},{'rs4853724_rs16832798'},1.0,"{'ENST00000448811', 'ENST00000423376', 'ENST00000423076'}","{'rs12467273_rs16832798', 'rs4853724_rs16832798'}",1.0,"{'ENST00000423376', 'ENST00000423076'}","{'rs1860849_rs16832798', 'rs12467273_rs16832798', 'rs33999198_rs16832798'}",1.0,"{'ENST00000448811', 'ENST00000423376', 'ENST00000423076'}","{'rs1860849_rs16832798', 'rs4853724_rs16832798', 'rs12467273_rs16832798', 'rs33999198_rs16832798'}",1.0,"{'ENST00000448811', 'ENST00000423376', 'ENST00000423076'}","{'rs1860849_rs16832798', 'rs4853724_rs16832798', 'rs12467273_rs16832798', 'rs33999198_rs16832798'}",1.0,,,,{'ENST00000448811'},{'rs4853724_rs16832798'},1.0,NAB1
