,gene_id,transcript_id,transcript_hacat_stim_1,linked_SNP_hacat_stim_1,hacat_stim_1,transcript_hacat_stim_2,linked_SNP_hacat_stim_2,hacat_stim_2,transcript_hacat_unstim_1,linked_SNP_hacat_unstim_1,hacat_unstim_1,transcript_hacat_unstim_2,linked_SNP_hacat_unstim_2,hacat_unstim_2,transcript_myla_1,linked_SNP_myla_1,myla_1,transcript_myla_2,linked_SNP_myla_2,myla_2,transcript_naive_T_1,linked_SNP_naive_T_1,naive_T_1,transcript_naive_T_2,linked_SNP_naive_T_2,naive_T_2,transcript_GM12878,linked_SNP_GM12878,GM12878,transcript_hacat_stim,linked_SNP_hacat_stim,hacat_stim,transcript_hacat_unstim,linked_SNP_hacat_unstim,hacat_unstim,transcript_myla,linked_SNP_myla,myla,transcript_naive_T,linked_SNP_naive_T,naive_T,gene_name
0,ENSG00000092020,,"{'ENST00000261475', 'ENST00000555644', 'ENST00000557278', 'ENST00000554361'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000261475', 'ENST00000555644', 'ENST00000557278', 'ENST00000554361'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000261475', 'ENST00000555644', 'ENST00000557278', 'ENST00000554361'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000261475', 'ENST00000555644', 'ENST00000557278', 'ENST00000554361'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000261475', 'ENST00000555644', 'ENST00000557278', 'ENST00000554361'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000261475', 'ENST00000555644', 'ENST00000557278', 'ENST00000554361'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000261475', 'ENST00000555644', 'ENST00000557278', 'ENST00000554361'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000261475', 'ENST00000555644', 'ENST00000557278', 'ENST00000554361'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000261475', 'ENST00000555644', 'ENST00000557278', 'ENST00000554361'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000261475', 'ENST00000555644', 'ENST00000557278', 'ENST00000554361'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000261475', 'ENST00000555644', 'ENST00000557278', 'ENST00000554361'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000261475', 'ENST00000555644', 'ENST00000557278', 'ENST00000554361'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000261475', 'ENST00000555644', 'ENST00000557278', 'ENST00000554361'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,PPP2R3C
1,ENSG00000100890,,"{'ENST00000605201', 'ENST00000534898', 'ENST00000604948', 'ENST00000604073', 'ENST00000250377', 'ENST00000321130', 'ENST00000603544', 'ENST00000557404', 'ENST00000603611', 'ENST00000605870'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000605201', 'ENST00000534898', 'ENST00000604948', 'ENST00000604073', 'ENST00000250377', 'ENST00000321130', 'ENST00000603544', 'ENST00000557404', 'ENST00000603611', 'ENST00000605870'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000605201', 'ENST00000534898', 'ENST00000604948', 'ENST00000604073', 'ENST00000250377', 'ENST00000321130', 'ENST00000603544', 'ENST00000557404', 'ENST00000603611', 'ENST00000605870'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000605201', 'ENST00000534898', 'ENST00000604948', 'ENST00000604073', 'ENST00000250377', 'ENST00000321130', 'ENST00000603544', 'ENST00000557404', 'ENST00000603611', 'ENST00000605870'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000605201', 'ENST00000534898', 'ENST00000604948', 'ENST00000604073', 'ENST00000250377', 'ENST00000321130', 'ENST00000603544', 'ENST00000557404', 'ENST00000603611', 'ENST00000605870'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000605201', 'ENST00000534898', 'ENST00000604948', 'ENST00000604073', 'ENST00000250377', 'ENST00000321130', 'ENST00000603544', 'ENST00000557404', 'ENST00000603611', 'ENST00000605870'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000605201', 'ENST00000534898', 'ENST00000604948', 'ENST00000604073', 'ENST00000250377', 'ENST00000321130', 'ENST00000603544', 'ENST00000557404', 'ENST00000603611', 'ENST00000605870'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000605201', 'ENST00000534898', 'ENST00000604948', 'ENST00000604073', 'ENST00000250377', 'ENST00000321130', 'ENST00000603544', 'ENST00000557404', 'ENST00000603611', 'ENST00000605870'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000605201', 'ENST00000534898', 'ENST00000604948', 'ENST00000604073', 'ENST00000250377', 'ENST00000321130', 'ENST00000603544', 'ENST00000557404', 'ENST00000603611', 'ENST00000605870'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000605201', 'ENST00000534898', 'ENST00000604948', 'ENST00000604073', 'ENST00000250377', 'ENST00000321130', 'ENST00000603544', 'ENST00000557404', 'ENST00000603611', 'ENST00000605870'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000605201', 'ENST00000534898', 'ENST00000604948', 'ENST00000604073', 'ENST00000250377', 'ENST00000321130', 'ENST00000603544', 'ENST00000557404', 'ENST00000603611', 'ENST00000605870'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000605201', 'ENST00000534898', 'ENST00000604948', 'ENST00000604073', 'ENST00000250377', 'ENST00000321130', 'ENST00000603544', 'ENST00000557404', 'ENST00000603611', 'ENST00000605870'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,"{'ENST00000605201', 'ENST00000534898', 'ENST00000604948', 'ENST00000604073', 'ENST00000250377', 'ENST00000321130', 'ENST00000603544', 'ENST00000557404', 'ENST00000603611', 'ENST00000605870'}","{'rs941653_rs2038255', 'rs28365850_rs2038255'}",1.0,KIAA0391
2,ENSG00000100902,,"{'ENST00000556506', 'ENST00000261479', 'ENST00000553809', 'ENST00000622405', 'ENST00000628955', 'ENST00000555764', 'ENST00000627895'}",{'rs1048990_rs2038255'},1.0,"{'ENST00000556506', 'ENST00000261479', 'ENST00000553809', 'ENST00000622405', 'ENST00000628955', 'ENST00000555764', 'ENST00000627895'}",{'rs1048990_rs2038255'},1.0,"{'ENST00000556506', 'ENST00000261479', 'ENST00000553809', 'ENST00000622405', 'ENST00000628955', 'ENST00000555764', 'ENST00000627895'}",{'rs1048990_rs2038255'},1.0,"{'ENST00000556506', 'ENST00000261479', 'ENST00000553809', 'ENST00000622405', 'ENST00000628955', 'ENST00000555764', 'ENST00000627895'}",{'rs1048990_rs2038255'},1.0,"{'ENST00000556506', 'ENST00000261479', 'ENST00000553809', 'ENST00000622405', 'ENST00000628955', 'ENST00000555764', 'ENST00000627895'}",{'rs1048990_rs2038255'},1.0,"{'ENST00000556506', 'ENST00000261479', 'ENST00000553809', 'ENST00000622405', 'ENST00000628955', 'ENST00000555764', 'ENST00000627895'}",{'rs1048990_rs2038255'},1.0,"{'ENST00000556506', 'ENST00000261479', 'ENST00000553809', 'ENST00000622405', 'ENST00000628955', 'ENST00000555764', 'ENST00000627895'}",{'rs1048990_rs2038255'},1.0,"{'ENST00000556506', 'ENST00000261479', 'ENST00000553809', 'ENST00000622405', 'ENST00000628955', 'ENST00000555764', 'ENST00000627895'}",{'rs1048990_rs2038255'},1.0,"{'ENST00000556506', 'ENST00000261479', 'ENST00000553809', 'ENST00000622405', 'ENST00000628955', 'ENST00000555764', 'ENST00000627895'}",{'rs1048990_rs2038255'},1.0,"{'ENST00000556506', 'ENST00000261479', 'ENST00000553809', 'ENST00000622405', 'ENST00000628955', 'ENST00000555764', 'ENST00000627895'}",{'rs1048990_rs2038255'},1.0,"{'ENST00000556506', 'ENST00000261479', 'ENST00000553809', 'ENST00000622405', 'ENST00000628955', 'ENST00000555764', 'ENST00000627895'}",{'rs1048990_rs2038255'},1.0,"{'ENST00000556506', 'ENST00000261479', 'ENST00000553809', 'ENST00000622405', 'ENST00000628955', 'ENST00000555764', 'ENST00000627895'}",{'rs1048990_rs2038255'},1.0,"{'ENST00000556506', 'ENST00000261479', 'ENST00000553809', 'ENST00000622405', 'ENST00000628955', 'ENST00000555764', 'ENST00000627895'}",{'rs1048990_rs2038255'},1.0,PSMA6
3,ENSG00000115604,,"{'ENST00000233957', 'ENST00000409599'}",{'rs13015714_rs6419573'},1.0,"{'ENST00000233957', 'ENST00000409599'}",{'rs13015714_rs6419573'},1.0,,,,"{'ENST00000233957', 'ENST00000409599'}",{'rs13015714_rs6419573'},1.0,"{'ENST00000233957', 'ENST00000409599'}",{'rs13015714_rs6419573'},1.0,"{'ENST00000233957', 'ENST00000409599'}",{'rs13015714_rs6419573'},1.0,"{'ENST00000233957', 'ENST00000409599'}",{'rs13015714_rs6419573'},1.0,"{'ENST00000233957', 'ENST00000409599'}",{'rs13015714_rs6419573'},1.0,"{'ENST00000233957', 'ENST00000409599'}",{'rs13015714_rs6419573'},1.0,"{'ENST00000233957', 'ENST00000409599'}",{'rs13015714_rs6419573'},1.0,"{'ENST00000233957', 'ENST00000409599'}",{'rs13015714_rs6419573'},1.0,"{'ENST00000233957', 'ENST00000409599'}",{'rs13015714_rs6419573'},1.0,"{'ENST00000233957', 'ENST00000409599'}",{'rs13015714_rs6419573'},1.0,IL18R1
4,ENSG00000151327,,"{'ENST00000555211', 'ENST00000382406', 'ENST00000554052', 'ENST00000280987', 'ENST00000396472'}","{'rs3809449_rs2038255', 'rs60693825_rs2038255'}",1.0,"{'ENST00000555211', 'ENST00000382406', 'ENST00000554052', 'ENST00000280987', 'ENST00000396472'}","{'rs8013540_rs2038255', 'rs3809449_rs2038255', 'rs60693825_rs2038255'}",1.0,"{'ENST00000555211', 'ENST00000382406', 'ENST00000554052', 'ENST00000280987', 'ENST00000396472'}","{'rs3809449_rs2038255', 'rs60693825_rs2038255'}",1.0,"{'ENST00000555211', 'ENST00000382406', 'ENST00000554052', 'ENST00000280987', 'ENST00000396472'}","{'rs8013540_rs2038255', 'rs3809449_rs2038255', 'rs60693825_rs2038255'}",1.0,"{'ENST00000555211', 'ENST00000382406', 'ENST00000554052', 'ENST00000280987', 'ENST00000396472'}","{'rs8013540_rs2038255', 'rs3809449_rs2038255', 'rs60693825_rs2038255'}",1.0,"{'ENST00000555211', 'ENST00000382406', 'ENST00000554052', 'ENST00000280987', 'ENST00000396472'}","{'rs8013540_rs2038255', 'rs3809449_rs2038255', 'rs60693825_rs2038255'}",1.0,"{'ENST00000555211', 'ENST00000382406', 'ENST00000554052', 'ENST00000280987', 'ENST00000396472'}","{'rs8013540_rs2038255', 'rs3809449_rs2038255', 'rs60693825_rs2038255'}",1.0,"{'ENST00000555211', 'ENST00000382406', 'ENST00000554052', 'ENST00000280987', 'ENST00000396472'}","{'rs8013540_rs2038255', 'rs3809449_rs2038255', 'rs60693825_rs2038255'}",1.0,"{'ENST00000555211', 'ENST00000382406', 'ENST00000554052', 'ENST00000280987', 'ENST00000396472'}","{'rs8013540_rs2038255', 'rs3809449_rs2038255', 'rs60693825_rs2038255'}",1.0,"{'ENST00000555211', 'ENST00000382406', 'ENST00000554052', 'ENST00000280987', 'ENST00000396472'}","{'rs8013540_rs2038255', 'rs3809449_rs2038255', 'rs60693825_rs2038255'}",1.0,"{'ENST00000555211', 'ENST00000382406', 'ENST00000554052', 'ENST00000280987', 'ENST00000396472'}","{'rs8013540_rs2038255', 'rs3809449_rs2038255', 'rs60693825_rs2038255'}",1.0,"{'ENST00000555211', 'ENST00000382406', 'ENST00000554052', 'ENST00000280987', 'ENST00000396472'}","{'rs8013540_rs2038255', 'rs3809449_rs2038255', 'rs60693825_rs2038255'}",1.0,"{'ENST00000555211', 'ENST00000382406', 'ENST00000554052', 'ENST00000280987', 'ENST00000396472'}","{'rs8013540_rs2038255', 'rs3809449_rs2038255', 'rs60693825_rs2038255'}",1.0,FAM177A1
5,ENSG00000168685,,"{'ENST00000511982', 'ENST00000508941', 'ENST00000506850', 'ENST00000303115', 'ENST00000505093'}","{'rs6897932_rs10214237', 'rs6890853_rs10214237', 'rs11567694_rs10214237', 'rs10213865_rs10214237', 'rs1494564_rs10214237', 'rs13188960_rs10214237'}",1.0,"{'ENST00000511982', 'ENST00000508941', 'ENST00000506850', 'ENST00000303115', 'ENST00000505093'}","{'rs6897932_rs10214237', 'rs6890853_rs10214237', 'rs11567694_rs10214237', 'rs10213865_rs10214237', 'rs1494564_rs10214237', 'rs13188960_rs10214237'}",1.0,"{'ENST00000511982', 'ENST00000303115', 'ENST00000508941', 'ENST00000506850'}","{'rs11567694_rs10214237', 'rs6890853_rs10214237', 'rs1494564_rs10214237', 'rs10213865_rs10214237'}",1.0,"{'ENST00000511982', 'ENST00000303115', 'ENST00000508941', 'ENST00000506850'}","{'rs6890853_rs10214237', 'rs11567694_rs10214237', 'rs10213865_rs10214237', 'rs1494564_rs10214237', 'rs13188960_rs10214237'}",1.0,"{'ENST00000511982', 'ENST00000303115', 'ENST00000508941', 'ENST00000506850'}","{'rs6890853_rs10214237', 'rs11567694_rs10214237', 'rs10213865_rs10214237', 'rs1494564_rs10214237', 'rs13188960_rs10214237'}",1.0,"{'ENST00000511982', 'ENST00000303115', 'ENST00000508941', 'ENST00000506850'}","{'rs6890853_rs10214237', 'rs11567694_rs10214237', 'rs10213865_rs10214237', 'rs1494564_rs10214237', 'rs13188960_rs10214237'}",1.0,"{'ENST00000511982', 'ENST00000303115', 'ENST00000508941', 'ENST00000506850'}","{'rs6890853_rs10214237', 'rs11567694_rs10214237', 'rs10213865_rs10214237', 'rs1494564_rs10214237', 'rs13188960_rs10214237'}",1.0,"{'ENST00000511982', 'ENST00000303115', 'ENST00000508941', 'ENST00000506850'}","{'rs6890853_rs10214237', 'rs11567694_rs10214237', 'rs10213865_rs10214237', 'rs1494564_rs10214237', 'rs13188960_rs10214237'}",1.0,"{'ENST00000511982', 'ENST00000303115', 'ENST00000508941', 'ENST00000506850'}","{'rs6890853_rs10214237', 'rs11567694_rs10214237', 'rs10213865_rs10214237', 'rs1494564_rs10214237', 'rs13188960_rs10214237'}",1.0,"{'ENST00000511982', 'ENST00000508941', 'ENST00000506850', 'ENST00000303115', 'ENST00000505093'}","{'rs6897932_rs10214237', 'rs6890853_rs10214237', 'rs11567694_rs10214237', 'rs10213865_rs10214237', 'rs1494564_rs10214237', 'rs13188960_rs10214237'}",1.0,"{'ENST00000511982', 'ENST00000303115', 'ENST00000508941', 'ENST00000506850'}","{'rs6890853_rs10214237', 'rs11567694_rs10214237', 'rs10213865_rs10214237', 'rs1494564_rs10214237', 'rs13188960_rs10214237'}",1.0,"{'ENST00000511982', 'ENST00000303115', 'ENST00000508941', 'ENST00000506850'}","{'rs6890853_rs10214237', 'rs11567694_rs10214237', 'rs10213865_rs10214237', 'rs1494564_rs10214237', 'rs13188960_rs10214237'}",1.0,"{'ENST00000511982', 'ENST00000303115', 'ENST00000508941', 'ENST00000506850'}","{'rs6890853_rs10214237', 'rs11567694_rs10214237', 'rs10213865_rs10214237', 'rs1494564_rs10214237', 'rs13188960_rs10214237'}",1.0,IL7R
6,ENSG00000197457,,{'ENST00000634126'},{'rs3761124_rs4809219'},1.0,{'ENST00000634126'},{'rs3761124_rs4809219'},1.0,{'ENST00000634126'},{'rs3761124_rs4809219'},1.0,{'ENST00000634126'},{'rs3761124_rs4809219'},1.0,{'ENST00000634126'},{'rs3761124_rs4809219'},1.0,{'ENST00000634126'},{'rs3761124_rs4809219'},1.0,,,,,,,{'ENST00000634126'},{'rs3761124_rs4809219'},1.0,{'ENST00000634126'},{'rs3761124_rs4809219'},1.0,{'ENST00000634126'},{'rs3761124_rs4809219'},1.0,{'ENST00000634126'},{'rs3761124_rs4809219'},1.0,,,,STMN3
7,ENSG00000266472,,"{'ENST00000614145', 'ENST00000581066'}",{'rs7512552_rs7512552'},1.0,"{'ENST00000614145', 'ENST00000581066'}",{'rs7512552_rs7512552'},1.0,"{'ENST00000614145', 'ENST00000581066'}",{'rs7512552_rs7512552'},1.0,"{'ENST00000614145', 'ENST00000581066'}",{'rs7512552_rs7512552'},1.0,"{'ENST00000614145', 'ENST00000581066'}",{'rs7512552_rs7512552'},1.0,"{'ENST00000614145', 'ENST00000581066'}",{'rs7512552_rs7512552'},1.0,"{'ENST00000614145', 'ENST00000581066'}",{'rs7512552_rs7512552'},1.0,"{'ENST00000614145', 'ENST00000581066'}",{'rs7512552_rs7512552'},1.0,"{'ENST00000614145', 'ENST00000581066'}",{'rs7512552_rs7512552'},1.0,"{'ENST00000614145', 'ENST00000581066'}",{'rs7512552_rs7512552'},1.0,"{'ENST00000614145', 'ENST00000581066'}",{'rs7512552_rs7512552'},1.0,"{'ENST00000614145', 'ENST00000581066'}",{'rs7512552_rs7512552'},1.0,"{'ENST00000614145', 'ENST00000581066'}",{'rs7512552_rs7512552'},1.0,MRPS21
8,ENSG00000159208,,,,,"{'ENST00000417398', 'ENST00000290363', 'ENST00000369095', 'ENST00000447007', 'ENST00000369094'}",{'rs2147324_rs7512552'},1.0,,,,"{'ENST00000417398', 'ENST00000290363', 'ENST00000369095', 'ENST00000447007', 'ENST00000369094'}",{'rs2147324_rs7512552'},1.0,,,,,,,"{'ENST00000417398', 'ENST00000290363', 'ENST00000369095', 'ENST00000447007', 'ENST00000369094'}",{'rs2147324_rs7512552'},1.0,"{'ENST00000417398', 'ENST00000290363', 'ENST00000369095', 'ENST00000447007', 'ENST00000369094'}",{'rs2147324_rs7512552'},1.0,,,,"{'ENST00000417398', 'ENST00000290363', 'ENST00000369095', 'ENST00000447007', 'ENST00000369094'}",{'rs2147324_rs7512552'},1.0,"{'ENST00000417398', 'ENST00000290363', 'ENST00000369095', 'ENST00000447007', 'ENST00000369094'}",{'rs2147324_rs7512552'},1.0,,,,"{'ENST00000417398', 'ENST00000290363', 'ENST00000369095', 'ENST00000447007', 'ENST00000369094'}",{'rs2147324_rs7512552'},1.0,CIART
9,ENSG00000160712,,,,,{'ENST00000515190'},"{'rs4845620_rs12730935', 'rs7518199_rs12730935'}",1.0,{'ENST00000515190'},"{'rs4845620_rs12730935', 'rs7518199_rs12730935'}",1.0,{'ENST00000515190'},"{'rs4845620_rs12730935', 'rs7521458_rs12730935', 'rs7518199_rs12730935'}",1.0,,,,,,,{'ENST00000515190'},{'rs4845620_rs12730935'},1.0,{'ENST00000515190'},"{'rs4845620_rs12730935', 'rs7518199_rs12730935'}",1.0,,,,{'ENST00000515190'},"{'rs4845620_rs12730935', 'rs7518199_rs12730935'}",1.0,{'ENST00000515190'},"{'rs4845620_rs12730935', 'rs7521458_rs12730935', 'rs7518199_rs12730935'}",1.0,,,,{'ENST00000515190'},{'rs4845620_rs12730935'},1.0,IL6R
