loci,combined,GM12878,hacat_stim,hacat_unstim,myla,naive_T
rs10199605,ID2,,"ID2 (hacat_stim only), TAD level:2","ID2 (hacat_unstim_2, hacat_unstim only), TAD level:2",,
rs10214237,WDR70; RAD1; BRIX1; PRLR; NUP155; SPEF2; NADK2; NIPBL; IL7R (overlapping); DNAJC21,PRLR; IL7R,"RAD1 (hacat_stim_2, hacat_stim only), TAD level:outside tad; BRIX1 (hacat_stim_2, hacat_stim only), TAD level:outside tad; IL7R (all), TAD level:1; DNAJC21 (all), TAD level:outside tad","RAD1 (hacat_unstim_2, hacat_unstim only), TAD level:outside tad; BRIX1 (hacat_unstim_2, hacat_unstim only), TAD level:outside tad; IL7R (all), TAD level:1; DNAJC21 (hacat_unstim_2, hacat_unstim only), TAD level:outside tad","RAD1 (myla_1, myla only), TAD level:outside tad; BRIX1 (myla_1, myla only), TAD level:outside tad; PRLR (myla_1, myla only), TAD level:not found; SPEF2 (all), TAD level:1; IL7R (all), TAD level:2; DNAJC21 (myla_1, myla only), TAD level:outside tad","WDR70 (naive_T_2, naive_T only); RAD1 (all); BRIX1 (all); NUP155 (naive_T_2, naive_T only); SPEF2 (all); NADK2 (naive_T_1, naive_T only); NIPBL (all); IL7R (all); DNAJC21 (all)"
rs10791824,SSH3; RNASEH2C; KAT5; SART1,KAT5,"SSH3 (hacat_stim only), TAD level:outside tad; RNASEH2C (hacat_stim_1 only), TAD level:2; KAT5 (all), TAD level:2","RNASEH2C (hacat_unstim_2 only), TAD level:3; KAT5 (hacat_unstim_2, hacat_unstim only), TAD level:3","RNASEH2C (myla only), TAD level:2; KAT5 (myla_1, myla only), TAD level:2",KAT5 (naive_T only); SART1 (naive_T_1 only)
rs112111458,FAM136A; ATP6V1B1; SNRPG; TEX261,,"ATP6V1B1 (hacat_stim only), TAD level:not found","TEX261 (hacat_unstim_2, hacat_unstim only), TAD level:2","FAM136A (myla_1, myla only), TAD level:2; SNRPG (myla only), TAD level:2",
rs12188917,AFF4; P4HA2; RAD50; IL5; PPP2CA; C5orf15; KIF3A; ZCCHC10; RAPGEF6; SEPT8; SHROOM1; UQCRQ; LEAP2; IL13; HSPA4; SLC22A4; SLC22A5; CCNI2; VDAC1; AC104109.3; AC116366.3,RAD50; KIF3A; ZCCHC10; SEPT8; SHROOM1; UQCRQ; LEAP2; HSPA4; CCNI2; AC116366.3,"SEPT8 (hacat_stim_2, hacat_stim only), TAD level:2; UQCRQ (hacat_stim only), TAD level:not found","P4HA2 (hacat_unstim_2 only), TAD level:1; UQCRQ (hacat_unstim_2 only), TAD level:2; LEAP2 (hacat_unstim_2 only), TAD level:2; SLC22A4 (hacat_unstim_2 only), TAD level:1","RAD50 (all), TAD level:1; IL5 (all), TAD level:1; KIF3A (all), TAD level:2; SEPT8 (all), TAD level:2; SHROOM1 (all), TAD level:2; IL13 (all), TAD level:2","AFF4 (naive_T_1, naive_T only); PPP2CA (naive_T only); C5orf15 (naive_T_1, naive_T only); KIF3A (naive_T only); RAPGEF6 (naive_T only); UQCRQ (all); LEAP2 (all); HSPA4 (all); SLC22A5 (naive_T_2, naive_T only); VDAC1 (naive_T only); AC104109.3 (naive_T only)"
rs1249910,GTPBP8,,,"GTPBP8 (hacat_unstim only), TAD level:not found",,
rs12730935,ATP8B2; ADAM15; EFNA3; ZBTB7B; SHC1; IL6R; PBXIP1; PYGO2; EFNA1; CKS1B; S100A16; S100A14; S100A2,IL6R,"EFNA3 (hacat_stim only), TAD level:outside tad; ZBTB7B (hacat_stim only), TAD level:outside tad; SHC1 (hacat_stim_2, hacat_stim only), TAD level:not found; IL6R (hacat_stim_2, hacat_stim only), TAD level:2; CKS1B (hacat_stim_2, hacat_stim only), TAD level:not found; S100A16 (hacat_stim_2 only), TAD level:outside tad; S100A14 (hacat_stim_2 only), TAD level:outside tad; S100A2 (hacat_stim_2, hacat_stim only), TAD level:outside tad","SHC1 (all), TAD level:not found; IL6R (all), TAD level:1; EFNA1 (hacat_unstim_2, hacat_unstim only), TAD level:outside tad; CKS1B (all), TAD level:not found; S100A16 (hacat_unstim_2, hacat_unstim only), TAD level:outside tad; S100A14 (hacat_unstim_2, hacat_unstim only), TAD level:outside tad","ATP8B2 (myla_1, myla only), TAD level:4; SHC1 (myla_2, myla only), TAD level:2; CKS1B (myla_2, myla only), TAD level:2",ADAM15 (naive_T only); ZBTB7B (naive_T only); IL6R (all); PBXIP1 (all); PYGO2 (all)
rs12951971,ATP6V0A1; COASY; NAGLU; HSD17B1; MLX; PSMC3IP; GHDC; STAT3; CAVIN1,NAGLU; STAT3,"ATP6V0A1 (hacat_stim_2, hacat_stim only), TAD level:2; STAT3 (hacat_stim_2, hacat_stim only), TAD level:3; CAVIN1 (all), TAD level:4","ATP6V0A1 (all), TAD level:1; COASY (all), TAD level:1; HSD17B1 (hacat_unstim only), TAD level:1; MLX (all), TAD level:1; PSMC3IP (hacat_unstim_2, hacat_unstim only), TAD level:1; STAT3 (hacat_unstim_2, hacat_unstim only), TAD level:1; CAVIN1 (all), TAD level:2","STAT3 (myla_2 only), TAD level:3","NAGLU (naive_T_2, naive_T only); HSD17B1 (naive_T_2, naive_T only); GHDC (naive_T_1, naive_T only); STAT3 (all)"
rs2038255,PPP2R3C; SRP54; KIAA0391; PSMA6; NFKBIA; BRMS1L; SNX6; EAPP; FAM177A1 (overlapping); MBIP; SPTSSA; CFL2; RALGAPA1; BAZ1A,PPP2R3C; SRP54; KIAA0391; PSMA6; NFKBIA; FAM177A1; CFL2; BAZ1A,"PPP2R3C (all), TAD level:2; SRP54 (hacat_stim_2, hacat_stim only), TAD level:2; KIAA0391 (all), TAD level:2; PSMA6 (all), TAD level:3; NFKBIA (all), TAD level:1; SNX6 (hacat_stim only), TAD level:not found; FAM177A1 (all), TAD level:2; CFL2 (hacat_stim_2, hacat_stim only), TAD level:2; RALGAPA1 (hacat_stim only), TAD level:not found; BAZ1A (hacat_stim_2, hacat_stim only), TAD level:2","PPP2R3C (all), TAD level:2; SRP54 (hacat_unstim_2, hacat_unstim only), TAD level:3; KIAA0391 (all), TAD level:2; PSMA6 (all), TAD level:3; NFKBIA (all), TAD level:1; SNX6 (hacat_unstim only), TAD level:not found; FAM177A1 (all), TAD level:2; CFL2 (hacat_unstim only), TAD level:3; BAZ1A (hacat_unstim_2, hacat_unstim only), TAD level:3","PPP2R3C (all), TAD level:2; KIAA0391 (all), TAD level:2; PSMA6 (all), TAD level:3; NFKBIA (all), TAD level:1; SNX6 (myla_1, myla only), TAD level:not found; FAM177A1 (all), TAD level:2; CFL2 (myla_1, myla only), TAD level:2; RALGAPA1 (myla only), TAD level:1; BAZ1A (myla only), TAD level:2",PPP2R3C (all); SRP54 (all); KIAA0391 (all); PSMA6 (all); NFKBIA (all); BRMS1L (all); SNX6 (all); EAPP (all); FAM177A1 (all); MBIP (naive_T only); SPTSSA (naive_T only); CFL2 (all); RALGAPA1 (all); BAZ1A (all)
rs2212434,EMSY,,"EMSY (hacat_stim_2, hacat_stim only), TAD level:2",,,
rs2592555,PRR5L; TRAF6,TRAF6,,,"PRR5L (myla_1, myla only), TAD level:not found; TRAF6 (myla only), TAD level:1",
rs2918307,ZNF846,,,,"ZNF846 (myla_1, myla only), TAD level:1",
rs2944542,EGR2; NRBF2; ADO,EGR2; NRBF2; ADO,"EGR2 (hacat_stim_2, hacat_stim only), TAD level:1; ADO (hacat_stim_2, hacat_stim only), TAD level:1","ADO (hacat_unstim_2, hacat_unstim only), TAD level:1","NRBF2 (myla_1, myla only), TAD level:not found; ADO (myla only), TAD level:2",
rs4643526,REL,,"REL (hacat_stim_2, hacat_stim only), TAD level:2",,,"REL (naive_T_2, naive_T only)"
