loci,combined,GM12878,hacat_stim,hacat_unstim,myla,naive_T
rs1005714,LLGL2; MFSD11; RECQL5; CDR2L; MRPS7 (overlapping); GGA3 (overlapping); ARMC7; NUP85 (overlapping); SLC25A19; MIF4GD (overlapping); NT5C; WBP2; H3F3B; UNK; TRIM65; FDXR; SAP30BP; SRSF2; HID1; MRPL58; ATP5PD; CASKIN2; TMEM94; GRB2; KCTD2; METTL23; TSEN54; SUMO2; MRPL38; MYO15B; AC005837.2,MRPS7; GGA3; ARMC7; NUP85; MIF4GD; NT5C; FDXR; MRPL58; ATP5PD; GRB2; KCTD2,"LLGL2 (hacat_stim_2, hacat_stim only), TAD level:3; CDR2L (all), TAD level:not found; MRPS7 (all), TAD level:not found; GGA3 (all), TAD level:not found; ARMC7 (all), TAD level:1; NUP85 (all), TAD level:1; SLC25A19 (hacat_stim_2 only), TAD level:not found; MIF4GD (all), TAD level:not found; NT5C (hacat_stim only), TAD level:1; ATP5PD (all), TAD level:1; CASKIN2 (hacat_stim_2, hacat_stim only), TAD level:3; GRB2 (all), TAD level:not found; KCTD2 (all), TAD level:1; TSEN54 (hacat_stim_2, hacat_stim only), TAD level:3","LLGL2 (hacat_unstim only), TAD level:3; CDR2L (hacat_unstim only), TAD level:not found; MRPS7 (all), TAD level:not found; GGA3 (all), TAD level:not found; ARMC7 (all), TAD level:1; NUP85 (all), TAD level:1; MIF4GD (all), TAD level:not found; HID1 (all), TAD level:not found; ATP5PD (hacat_unstim_2, hacat_unstim only), TAD level:1; CASKIN2 (hacat_unstim only), TAD level:3; TMEM94 (hacat_unstim_2, hacat_unstim only), TAD level:3; GRB2 (hacat_unstim_2, hacat_unstim only), TAD level:not found; KCTD2 (all), TAD level:1; TSEN54 (hacat_unstim only), TAD level:3","CDR2L (all), TAD level:not found; MRPS7 (all), TAD level:1; GGA3 (all), TAD level:1; ARMC7 (all), TAD level:2; NUP85 (all), TAD level:2; MIF4GD (all), TAD level:1; NT5C (myla_1, myla only), TAD level:2; GRB2 (all), TAD level:1; KCTD2 (myla only), TAD level:2","LLGL2 (naive_T_2, naive_T only); MFSD11 (naive_T only); RECQL5 (all); MRPS7 (all); GGA3 (all); ARMC7 (all); NUP85 (all); SLC25A19 (naive_T only); MIF4GD (all); NT5C (naive_T only); WBP2 (naive_T_1, naive_T only); H3F3B (all); UNK (all); TRIM65 (naive_T only); SAP30BP (all); SRSF2 (naive_T only); HID1 (naive_T_1, naive_T only); ATP5PD (all); TMEM94 (naive_T_1, naive_T only); GRB2 (all); KCTD2 (all); METTL23 (naive_T only); TSEN54 (naive_T_2, naive_T only); SUMO2 (naive_T_2, naive_T only); MRPL38 (naive_T only); MYO15B (naive_T only); AC005837.2 (naive_T only)"
rs11117420,COX4I1; EMC8; IRF8,COX4I1; EMC8; IRF8,,,,"COX4I1 (naive_T_1, naive_T only); EMC8 (naive_T_1, naive_T only); IRF8 (naive_T_1, naive_T only)"
rs11217020,MCAM; DDX6 (overlapping); UPK2; CXCR5; CCDC84; BCL9L,DDX6; BCL9L,"DDX6 (all), TAD level:2; UPK2 (hacat_stim only), TAD level:2; CCDC84 (hacat_stim only), TAD level:2; BCL9L (all), TAD level:2","DDX6 (all), TAD level:2; UPK2 (hacat_unstim only), TAD level:2; CCDC84 (hacat_unstim only), TAD level:2; BCL9L (all), TAD level:2","MCAM (myla_2, myla only), TAD level:3; DDX6 (all), TAD level:4",DDX6 (all); CXCR5 (all); CCDC84 (naive_T_1 only); BCL9L (all)
rs11724804,TACC3; IDUA (overlapping); FGFRL1; TMEM175; DGKQ (overlapping); UVSSA; TMEM129; ATP5ME; GAK; MYL5,TMEM175; DGKQ; ATP5ME; GAK; MYL5,"DGKQ (all), TAD level:not found; ATP5ME (hacat_stim_2, hacat_stim only), TAD level:not found; GAK (hacat_stim_2, hacat_stim only), TAD level:1; MYL5 (hacat_stim_2, hacat_stim only), TAD level:not found","TMEM175 (hacat_unstim_2, hacat_unstim only), TAD level:1; DGKQ (all), TAD level:not found; ATP5ME (hacat_unstim only), TAD level:outside tad; GAK (hacat_unstim_2, hacat_unstim only), TAD level:1; MYL5 (hacat_unstim only), TAD level:not found","DGKQ (all), TAD level:2; GAK (myla only), TAD level:2; MYL5 (myla_2, myla only), TAD level:not found",TACC3 (naive_T only); IDUA (all); FGFRL1 (naive_T only); DGKQ (all); UVSSA (naive_T only); TMEM129 (naive_T only); ATP5ME (naive_T only); MYL5 (naive_T only)
rs12155080,IRF5; TSPAN33,IRF5; TSPAN33,"IRF5 (hacat_stim_2, hacat_stim only), TAD level:2","IRF5 (hacat_unstim_2, hacat_unstim only), TAD level:3","IRF5 (myla_1, myla only), TAD level:3",
rs1378942,STOML1; CSK; MAN2C1; PML; ULK3; SCAMP2; C15orf39; SIN3A; RPP25; COX5A; FAM219B; CLK3,STOML1; CSK; MAN2C1; PML; ULK3; SIN3A; RPP25; COX5A; FAM219B; CLK3,"CSK (all), TAD level:4; ULK3 (hacat_stim_2 only), TAD level:4; C15orf39 (hacat_stim_2, hacat_stim only), TAD level:2; RPP25 (hacat_stim_2, hacat_stim only), TAD level:4; COX5A (hacat_stim_2, hacat_stim only), TAD level:4; FAM219B (all), TAD level:4","CSK (all), TAD level:4; C15orf39 (hacat_unstim_2 only), TAD level:2; RPP25 (all), TAD level:4; COX5A (hacat_unstim_1, hacat_unstim only), TAD level:4; FAM219B (all), TAD level:4","CSK (all), TAD level:5; ULK3 (all), TAD level:5; SCAMP2 (myla_1, myla only), TAD level:5; COX5A (all), TAD level:5; FAM219B (myla only), TAD level:5; CLK3 (all), TAD level:4","STOML1 (naive_T only); CSK (all); PML (naive_T only); C15orf39 (all); SIN3A (all); COX5A (all); CLK3 (naive_T_2, naive_T only)"
rs16832798,STAT4; ASNSD1; NAB1 (overlapping); INPP1; MFSD6; NABP1; C2orf88; NEMP2; HIBCH,STAT4; NAB1; INPP1; C2orf88; NEMP2; HIBCH,"NAB1 (all), TAD level:1; INPP1 (all), TAD level:not found; MFSD6 (hacat_stim_2, hacat_stim only), TAD level:1; NEMP2 (all), TAD level:1; HIBCH (all), TAD level:not found","NAB1 (all), TAD level:1; INPP1 (hacat_unstim_2, hacat_unstim only), TAD level:not found; MFSD6 (hacat_unstim_2, hacat_unstim only), TAD level:1; NEMP2 (all), TAD level:1; HIBCH (hacat_unstim_2, hacat_unstim only), TAD level:not found","INPP1 (all), TAD level:2; MFSD6 (myla only), TAD level:4; NEMP2 (myla_1, myla only), TAD level:4; HIBCH (all), TAD level:2","STAT4 (all); ASNSD1 (naive_T only); NAB1 (all); INPP1 (naive_T only); MFSD6 (all); NABP1 (all); NEMP2 (all); HIBCH (naive_T_1, naive_T only)"
rs1857066,TNFSF4; DARS2; CENPL; RABGAP1L,TNFSF4; DARS2; CENPL,"DARS2 (hacat_stim_2, hacat_stim only), TAD level:not found; CENPL (hacat_stim_2, hacat_stim only), TAD level:not found","DARS2 (hacat_unstim_2, hacat_unstim only), TAD level:5; CENPL (hacat_unstim_2, hacat_unstim only), TAD level:5; RABGAP1L (hacat_unstim only), TAD level:not found","DARS2 (myla only), TAD level:5; CENPL (myla only), TAD level:5; RABGAP1L (myla_1, myla only), TAD level:3",
rs2022449,PRDX6; ZBTB37,,"PRDX6 (hacat_stim only), TAD level:5","ZBTB37 (hacat_unstim only), TAD level:5",,
rs2056626,BLZF1; NME7; GPA33; UCK2; TMCO1; POU2F1; MGST3; TADA1; CD247,,"POU2F1 (hacat_stim_2, hacat_stim only), TAD level:2; TADA1 (hacat_stim only), TAD level:not found","POU2F1 (hacat_unstim_2, hacat_unstim only), TAD level:2; TADA1 (hacat_unstim_2, hacat_unstim only), TAD level:not found","UCK2 (myla only), TAD level:outside tad; TMCO1 (myla only), TAD level:outside tad; POU2F1 (myla_1, myla only), TAD level:1; MGST3 (myla only), TAD level:not found; TADA1 (myla_1, myla only), TAD level:not found; CD247 (all), TAD level:2","BLZF1 (naive_T_2, naive_T only); NME7 (naive_T_2, naive_T only); GPA33 (all); POU2F1 (all); TADA1 (all); CD247 (all)"
