,gene_id,hacat_stim_1,hacat_stim_2,hacat_unstim_1,hacat_unstim_2,myla_1,myla_2,naive_T_1,naive_T_2,GM12878,hacat_stim,hacat_unstim,myla,naive_T,transcript_hacat_stim_1,transcript_hacat_stim_2,transcript_hacat_unstim_1,transcript_hacat_unstim_2,transcript_myla_1,transcript_myla_2,transcript_naive_T_1,transcript_naive_T_2,transcript_GM12878,transcript_hacat_stim,transcript_hacat_unstim,transcript_myla,transcript_naive_T,linked_SNP_hacat_stim_1,linked_SNP_hacat_stim_2,linked_SNP_hacat_unstim_1,linked_SNP_hacat_unstim_2,linked_SNP_myla_1,linked_SNP_myla_2,linked_SNP_naive_T_1,linked_SNP_naive_T_2,linked_SNP_GM12878,linked_SNP_hacat_stim,linked_SNP_hacat_unstim,linked_SNP_myla,linked_SNP_naive_T,gene_name
0,ENSG00000001460,4.1178948724399995e-18,5.33098458548e-30,4.08390555209e-07,2.02047130108e-07,1.1991755259000001e-05,3.6114017779e-31,8.94278613855e-12,3.4014151797500004e-08,,7.30696699968e-49,1.73891576851e-21,6.97912132218e-13,1.74612964312e-28,"{'ENST00000435187', 'ENST00000374409', 'ENST00000337248', 'ENST00000003583', 'ENST00000438866'}","{'ENST00000435187', 'ENST00000374409', 'ENST00000337248', 'ENST00000003583', 'ENST00000438866'}","{'ENST00000003583', 'ENST00000374409', 'ENST00000337248'}","{'ENST00000337248', 'ENST00000003583', 'ENST00000374409', 'ENST00000438866'}","{'ENST00000003583', 'ENST00000374409', 'ENST00000337248'}","{'ENST00000435187', 'ENST00000374409', 'ENST00000337248', 'ENST00000003583', 'ENST00000438866'}",{'ENST00000435187'},{'ENST00000435187'},,"{'ENST00000435187', 'ENST00000374409', 'ENST00000337248', 'ENST00000003583', 'ENST00000438866'}","{'ENST00000435187', 'ENST00000374409', 'ENST00000337248', 'ENST00000003583', 'ENST00000438866'}","{'ENST00000435187', 'ENST00000374409', 'ENST00000337248', 'ENST00000003583', 'ENST00000438866'}","{'ENST00000435187', 'ENST00000003583', 'ENST00000374409', 'ENST00000337248'}","{'rs3932664_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs11249021_rs7552167', 'rs7537544_rs7552167', 'rs6424162_rs7552167', 'rs7552167_rs7552167', 'rs7546025_rs7552167', 'rs113333331_rs7552167', 'rs7540214_rs7552167', 'rs4489498_rs7552167', 'rs78312791_rs7552167', 'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs7546212_rs7552167', 'rs10794647_rs7552167', 'rs3932666_rs7552167', 'rs59960858_rs7552167', 'rs7524201_rs7552167', 'rs4090311_rs7552167'}","{'rs3932664_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs11249021_rs7552167', 'rs7537544_rs7552167', 'rs6424162_rs7552167', 'rs7552167_rs7552167', 'rs7546025_rs7552167', 'rs7540214_rs7552167', 'rs113333331_rs7552167', 'rs4489498_rs7552167', 'rs78312791_rs7552167', 'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs7546212_rs7552167', 'rs10794647_rs7552167', 'rs3932666_rs7552167', 'rs59960858_rs7552167', 'rs7524201_rs7552167', 'rs4090311_rs7552167'}","{'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs3932664_rs7552167', 'rs7552167_rs7552167', 'rs3932666_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs113333331_rs7552167', 'rs59960858_rs7552167', 'rs4489498_rs7552167', 'rs11249021_rs7552167', 'rs4090311_rs7552167', 'rs78312791_rs7552167', 'rs6424162_rs7552167'}","{'rs3932664_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs11249021_rs7552167', 'rs7537544_rs7552167', 'rs6424162_rs7552167', 'rs7552167_rs7552167', 'rs7546025_rs7552167', 'rs7540214_rs7552167', 'rs113333331_rs7552167', 'rs4489498_rs7552167', 'rs78312791_rs7552167', 'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs7546212_rs7552167', 'rs10794647_rs7552167', 'rs3932666_rs7552167', 'rs59960858_rs7552167', 'rs7524201_rs7552167', 'rs4090311_rs7552167'}","{'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs3932664_rs7552167', 'rs7552167_rs7552167', 'rs3932666_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs113333331_rs7552167', 'rs59960858_rs7552167', 'rs4489498_rs7552167', 'rs11249021_rs7552167', 'rs4090311_rs7552167', 'rs78312791_rs7552167', 'rs6424162_rs7552167'}","{'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs3932664_rs7552167', 'rs7552167_rs7552167', 'rs3932666_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs113333331_rs7552167', 'rs59960858_rs7552167', 'rs4489498_rs7552167', 'rs11249021_rs7552167', 'rs4090311_rs7552167', 'rs78312791_rs7552167', 'rs6424162_rs7552167'}","{'rs3932664_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs11249021_rs7552167', 'rs7537544_rs7552167', 'rs6424162_rs7552167', 'rs7552167_rs7552167', 'rs7546025_rs7552167', 'rs7540214_rs7552167', 'rs113333331_rs7552167', 'rs4489498_rs7552167', 'rs78312791_rs7552167', 'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs7546212_rs7552167', 'rs10794647_rs7552167', 'rs3932666_rs7552167', 'rs59960858_rs7552167', 'rs7524201_rs7552167', 'rs4090311_rs7552167'}","{'rs3932664_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs11249021_rs7552167', 'rs7537544_rs7552167', 'rs6424162_rs7552167', 'rs7552167_rs7552167', 'rs7546025_rs7552167', 'rs7540214_rs7552167', 'rs113333331_rs7552167', 'rs4489498_rs7552167', 'rs78312791_rs7552167', 'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs7546212_rs7552167', 'rs10794647_rs7552167', 'rs3932666_rs7552167', 'rs59960858_rs7552167', 'rs7524201_rs7552167', 'rs4090311_rs7552167'}",,"{'rs3932664_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs11249021_rs7552167', 'rs7537544_rs7552167', 'rs6424162_rs7552167', 'rs7552167_rs7552167', 'rs7546025_rs7552167', 'rs7540214_rs7552167', 'rs113333331_rs7552167', 'rs4489498_rs7552167', 'rs78312791_rs7552167', 'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs7546212_rs7552167', 'rs10794647_rs7552167', 'rs3932666_rs7552167', 'rs59960858_rs7552167', 'rs7524201_rs7552167', 'rs4090311_rs7552167'}","{'rs3932664_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs11249021_rs7552167', 'rs7537544_rs7552167', 'rs6424162_rs7552167', 'rs7552167_rs7552167', 'rs7546025_rs7552167', 'rs7540214_rs7552167', 'rs113333331_rs7552167', 'rs4489498_rs7552167', 'rs78312791_rs7552167', 'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs7546212_rs7552167', 'rs10794647_rs7552167', 'rs3932666_rs7552167', 'rs59960858_rs7552167', 'rs7524201_rs7552167', 'rs4090311_rs7552167'}","{'rs3932664_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs11249021_rs7552167', 'rs7537544_rs7552167', 'rs6424162_rs7552167', 'rs7552167_rs7552167', 'rs7546025_rs7552167', 'rs113333331_rs7552167', 'rs7540214_rs7552167', 'rs4489498_rs7552167', 'rs78312791_rs7552167', 'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs7546212_rs7552167', 'rs10794647_rs7552167', 'rs3932666_rs7552167', 'rs59960858_rs7552167', 'rs7524201_rs7552167', 'rs4090311_rs7552167'}","{'rs3932664_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs11249021_rs7552167', 'rs7537544_rs7552167', 'rs6424162_rs7552167', 'rs7552167_rs7552167', 'rs7546025_rs7552167', 'rs7540214_rs7552167', 'rs113333331_rs7552167', 'rs4489498_rs7552167', 'rs78312791_rs7552167', 'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs7546212_rs7552167', 'rs10794647_rs7552167', 'rs3932666_rs7552167', 'rs59960858_rs7552167', 'rs7524201_rs7552167', 'rs4090311_rs7552167'}",STPG1
1,ENSG00000001461,4.03502828717e-06,4.28247766438e-11,4.08390555209e-07,2.02047130108e-07,1.1991755259000001e-05,1.20272268551e-05,,,,5.9920405213e-14,2.1442178258600003e-10,4.51128776129e-12,0.0009468853073350001,"{'ENST00000339255', 'ENST00000374399', 'ENST00000358028', 'ENST00000003912'}","{'ENST00000339255', 'ENST00000374399', 'ENST00000358028', 'ENST00000003912'}","{'ENST00000339255', 'ENST00000374399', 'ENST00000358028', 'ENST00000003912'}","{'ENST00000339255', 'ENST00000374399', 'ENST00000358028', 'ENST00000003912'}","{'ENST00000339255', 'ENST00000374399', 'ENST00000358028', 'ENST00000003912'}","{'ENST00000339255', 'ENST00000374399', 'ENST00000358028', 'ENST00000003912'}",,,,"{'ENST00000339255', 'ENST00000374399', 'ENST00000358028', 'ENST00000003912'}","{'ENST00000339255', 'ENST00000374399', 'ENST00000358028', 'ENST00000003912'}","{'ENST00000339255', 'ENST00000374399', 'ENST00000358028', 'ENST00000003912'}","{'ENST00000339255', 'ENST00000374399', 'ENST00000358028', 'ENST00000003912'}","{'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs3932664_rs7552167', 'rs7552167_rs7552167', 'rs3932666_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs113333331_rs7552167', 'rs59960858_rs7552167', 'rs4489498_rs7552167', 'rs11249021_rs7552167', 'rs4090311_rs7552167', 'rs78312791_rs7552167', 'rs6424162_rs7552167'}","{'rs3932664_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs11249021_rs7552167', 'rs7537544_rs7552167', 'rs6424162_rs7552167', 'rs7552167_rs7552167', 'rs7546025_rs7552167', 'rs7540214_rs7552167', 'rs113333331_rs7552167', 'rs4489498_rs7552167', 'rs78312791_rs7552167', 'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs7546212_rs7552167', 'rs10794647_rs7552167', 'rs3932666_rs7552167', 'rs59960858_rs7552167', 'rs7524201_rs7552167', 'rs4090311_rs7552167'}","{'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs3932664_rs7552167', 'rs7552167_rs7552167', 'rs3932666_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs113333331_rs7552167', 'rs59960858_rs7552167', 'rs4489498_rs7552167', 'rs11249021_rs7552167', 'rs4090311_rs7552167', 'rs78312791_rs7552167', 'rs6424162_rs7552167'}","{'rs3932664_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs11249021_rs7552167', 'rs7537544_rs7552167', 'rs6424162_rs7552167', 'rs7552167_rs7552167', 'rs7546025_rs7552167', 'rs7540214_rs7552167', 'rs113333331_rs7552167', 'rs4489498_rs7552167', 'rs78312791_rs7552167', 'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs7546212_rs7552167', 'rs10794647_rs7552167', 'rs3932666_rs7552167', 'rs59960858_rs7552167', 'rs7524201_rs7552167', 'rs4090311_rs7552167'}","{'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs3932664_rs7552167', 'rs7552167_rs7552167', 'rs3932666_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs113333331_rs7552167', 'rs59960858_rs7552167', 'rs4489498_rs7552167', 'rs11249021_rs7552167', 'rs4090311_rs7552167', 'rs78312791_rs7552167', 'rs6424162_rs7552167'}","{'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs3932664_rs7552167', 'rs7552167_rs7552167', 'rs3932666_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs113333331_rs7552167', 'rs59960858_rs7552167', 'rs4489498_rs7552167', 'rs11249021_rs7552167', 'rs4090311_rs7552167', 'rs78312791_rs7552167', 'rs6424162_rs7552167'}",,,,"{'rs3932664_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs11249021_rs7552167', 'rs7537544_rs7552167', 'rs6424162_rs7552167', 'rs7552167_rs7552167', 'rs7546025_rs7552167', 'rs7540214_rs7552167', 'rs113333331_rs7552167', 'rs4489498_rs7552167', 'rs78312791_rs7552167', 'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs7546212_rs7552167', 'rs10794647_rs7552167', 'rs3932666_rs7552167', 'rs59960858_rs7552167', 'rs7524201_rs7552167', 'rs4090311_rs7552167'}","{'rs3932664_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs11249021_rs7552167', 'rs7537544_rs7552167', 'rs6424162_rs7552167', 'rs7552167_rs7552167', 'rs7546025_rs7552167', 'rs7540214_rs7552167', 'rs113333331_rs7552167', 'rs4489498_rs7552167', 'rs78312791_rs7552167', 'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs7546212_rs7552167', 'rs10794647_rs7552167', 'rs3932666_rs7552167', 'rs59960858_rs7552167', 'rs7524201_rs7552167', 'rs4090311_rs7552167'}","{'rs11249020_rs7552167', 'rs146244436_rs7552167', 'rs3932664_rs7552167', 'rs7552167_rs7552167', 'rs3932666_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs113333331_rs7552167', 'rs59960858_rs7552167', 'rs4489498_rs7552167', 'rs11249021_rs7552167', 'rs4090311_rs7552167', 'rs78312791_rs7552167', 'rs6424162_rs7552167'}","{'rs7552167_rs7552167', 'BI_GS_DEL1_B5_P0025_406_rs7552167', 'rs59960858_rs7552167'}",NIPAL3
2,ENSG00000009413,,2.06410905751e-08,,3.01587138787e-08,,,,,3.39475493881e-05,1.91831991275e-05,3.33966343248e-07,,,,"{'ENST00000368805', 'ENST00000358835', 'ENST00000368802', 'ENST00000435970'}",,"{'ENST00000368805', 'ENST00000358835', 'ENST00000368802', 'ENST00000435970'}",,,,,"{'ENST00000368805', 'ENST00000358835', 'ENST00000368802', 'ENST00000435970'}","{'ENST00000368805', 'ENST00000358835', 'ENST00000368802', 'ENST00000435970'}","{'ENST00000368805', 'ENST00000358835', 'ENST00000368802', 'ENST00000435970'}",,,,{'rs33980500_rs33980500'},,{'rs33980500_rs33980500'},,,,,{'rs33980500_rs33980500'},{'rs33980500_rs33980500'},{'rs33980500_rs33980500'},,,REV3L
3,ENSG00000019582,,,,,9.41343493973e-06,,3.12880841543e-11,3.1293402993e-17,1.5196380242e-06,,,6.24042576249e-07,6.78530412498e-24,,,,,"{'ENST00000518797', 'ENST00000524315', 'ENST00000009530', 'ENST00000377795', 'ENST00000353334'}",,"{'ENST00000518797', 'ENST00000524315', 'ENST00000009530', 'ENST00000377795', 'ENST00000353334'}","{'ENST00000518797', 'ENST00000524315', 'ENST00000009530', 'ENST00000377795', 'ENST00000353334'}","{'ENST00000518797', 'ENST00000524315', 'ENST00000009530', 'ENST00000377795', 'ENST00000353334'}",,,"{'ENST00000518797', 'ENST00000524315', 'ENST00000009530', 'ENST00000377795', 'ENST00000353334'}","{'ENST00000518797', 'ENST00000524315', 'ENST00000009530', 'ENST00000377795', 'ENST00000353334'}",,,,,"{'rs2233278_rs76956521', 'rs146571698_rs76956521', 'rs75851973_rs76956521', 'rs74817271_rs76956521', 'rs115682037_rs76956521', 'rs76956521_rs76956521', 'rs8177833_rs76956521'}",,"{'rs2233278_rs76956521', 'rs17728338_rs76956521', 'rs79901336_rs76956521', 'rs146571698_rs76956521', 'rs75851973_rs76956521', 'rs74817271_rs76956521', 'rs115682037_rs76956521', 'rs76462670_rs76956521', 'rs76956521_rs76956521', 'rs8177833_rs76956521'}","{'rs2233278_rs76956521', 'rs75851973_rs76956521', 'rs115682037_rs76956521', 'rs76956521_rs76956521', 'rs8177833_rs76956521'}","{'rs2233278_rs76956521', 'rs17728338_rs76956521', 'rs79901336_rs76956521', 'rs146571698_rs76956521', 'rs75851973_rs76956521', 'rs74817271_rs76956521', 'rs8177833_rs76956521', 'rs76462670_rs76956521', 'rs76956521_rs76956521'}",,,"{'rs2233278_rs76956521', 'rs146571698_rs76956521', 'rs75851973_rs76956521', 'rs74817271_rs76956521', 'rs115682037_rs76956521', 'rs76956521_rs76956521', 'rs8177833_rs76956521'}","{'rs2233278_rs76956521', 'rs75851973_rs76956521', 'rs115682037_rs76956521', 'rs76956521_rs76956521', 'rs8177833_rs76956521'}",CD74
4,ENSG00000056972,,1.3093128375e-07,,5.17676662645e-05,,,,,0.00324198783415,1.8525345343e-07,2.57065089889e-06,,,,{'ENST00000368735'},,{'ENST00000368735'},,,,,"{'ENST00000340026', 'ENST00000368761', 'ENST00000392556', 'ENST00000359831'}",{'ENST00000368735'},{'ENST00000368735'},,,,{'rs33980500_rs33980500'},,{'rs33980500_rs33980500'},,,,,{'rs33980500_rs33980500'},{'rs33980500_rs33980500'},{'rs33980500_rs33980500'},,,TRAF3IP2
5,ENSG00000062485,1.0,0.00836288046008,1.0,1.0,1.0,1.0,1.0,1.0,0.0005456419887949999,0.00212850173027,1.0,1.0,1.0,"{'ENST00000351328', 'ENST00000546930', 'ENST00000551968', 'ENST00000548041', 'ENST00000547298', 'ENST00000550655', 'ENST00000551473', 'ENST00000550159', 'ENST00000549221', 'ENST00000548567', 'ENST00000551936', 'ENST00000551430', 'ENST00000551253', 'ENST00000551137', 'ENST00000542324', 'ENST00000552688', 'ENST00000550734'}","{'ENST00000351328', 'ENST00000546930', 'ENST00000551968', 'ENST00000548041', 'ENST00000547298', 'ENST00000550655', 'ENST00000551473', 'ENST00000550159', 'ENST00000549221', 'ENST00000548567', 'ENST00000551936', 'ENST00000551430', 'ENST00000551253', 'ENST00000551137', 'ENST00000542324', 'ENST00000552688', 'ENST00000550734'}","{'ENST00000351328', 'ENST00000546930', 'ENST00000551968', 'ENST00000548041', 'ENST00000547298', 'ENST00000550655', 'ENST00000551473', 'ENST00000550159', 'ENST00000549221', 'ENST00000548567', 'ENST00000551936', 'ENST00000551430', 'ENST00000551253', 'ENST00000551137', 'ENST00000542324', 'ENST00000552688', 'ENST00000550734'}","{'ENST00000351328', 'ENST00000546930', 'ENST00000551968', 'ENST00000548041', 'ENST00000547298', 'ENST00000550655', 'ENST00000551473', 'ENST00000550159', 'ENST00000549221', 'ENST00000548567', 'ENST00000551936', 'ENST00000551430', 'ENST00000551253', 'ENST00000551137', 'ENST00000542324', 'ENST00000552688', 'ENST00000550734'}","{'ENST00000351328', 'ENST00000546930', 'ENST00000551968', 'ENST00000548041', 'ENST00000547298', 'ENST00000550655', 'ENST00000551473', 'ENST00000550159', 'ENST00000549221', 'ENST00000548567', 'ENST00000551936', 'ENST00000551430', 'ENST00000551253', 'ENST00000551137', 'ENST00000542324', 'ENST00000552688', 'ENST00000550734'}","{'ENST00000351328', 'ENST00000546930', 'ENST00000551968', 'ENST00000548041', 'ENST00000547298', 'ENST00000550655', 'ENST00000551473', 'ENST00000550159', 'ENST00000549221', 'ENST00000548567', 'ENST00000551936', 'ENST00000551430', 'ENST00000551253', 'ENST00000551137', 'ENST00000542324', 'ENST00000552688', 'ENST00000550734'}","{'ENST00000351328', 'ENST00000546930', 'ENST00000551968', 'ENST00000548041', 'ENST00000547298', 'ENST00000550655', 'ENST00000551473', 'ENST00000550159', 'ENST00000549221', 'ENST00000548567', 'ENST00000551936', 'ENST00000551430', 'ENST00000551253', 'ENST00000551137', 'ENST00000542324', 'ENST00000552688', 'ENST00000550734'}","{'ENST00000351328', 'ENST00000546930', 'ENST00000551968', 'ENST00000548041', 'ENST00000547298', 'ENST00000550655', 'ENST00000551473', 'ENST00000550159', 'ENST00000549221', 'ENST00000548567', 'ENST00000551936', 'ENST00000551430', 'ENST00000551253', 'ENST00000551137', 'ENST00000542324', 'ENST00000552688', 'ENST00000550734'}","{'ENST00000351328', 'ENST00000546930', 'ENST00000551968', 'ENST00000548041', 'ENST00000547298', 'ENST00000550655', 'ENST00000551473', 'ENST00000550159', 'ENST00000548567', 'ENST00000549221', 'ENST00000551936', 'ENST00000551430', 'ENST00000551253', 'ENST00000548746', 'ENST00000551137', 'ENST00000542324', 'ENST00000552688', 'ENST00000550734'}","{'ENST00000351328', 'ENST00000546930', 'ENST00000551968', 'ENST00000548041', 'ENST00000547298', 'ENST00000550655', 'ENST00000551473', 'ENST00000550159', 'ENST00000549221', 'ENST00000548567', 'ENST00000551936', 'ENST00000551430', 'ENST00000551253', 'ENST00000551137', 'ENST00000542324', 'ENST00000552688', 'ENST00000550734'}","{'ENST00000351328', 'ENST00000546930', 'ENST00000551968', 'ENST00000548041', 'ENST00000547298', 'ENST00000550655', 'ENST00000551473', 'ENST00000550159', 'ENST00000549221', 'ENST00000548567', 'ENST00000551936', 'ENST00000551430', 'ENST00000551253', 'ENST00000551137', 'ENST00000542324', 'ENST00000552688', 'ENST00000550734'}","{'ENST00000351328', 'ENST00000546930', 'ENST00000551968', 'ENST00000548041', 'ENST00000547298', 'ENST00000550655', 'ENST00000551473', 'ENST00000550159', 'ENST00000549221', 'ENST00000548567', 'ENST00000551936', 'ENST00000551430', 'ENST00000551253', 'ENST00000551137', 'ENST00000542324', 'ENST00000552688', 'ENST00000550734'}","{'ENST00000351328', 'ENST00000546930', 'ENST00000551968', 'ENST00000548041', 'ENST00000547298', 'ENST00000550655', 'ENST00000551473', 'ENST00000550159', 'ENST00000549221', 'ENST00000548567', 'ENST00000551936', 'ENST00000551430', 'ENST00000551253', 'ENST00000551137', 'ENST00000542324', 'ENST00000552688', 'ENST00000550734'}","{'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs41423244_rs2020854'}","{'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs41423244_rs2020854', 'rs57343616_rs2020854'}","{'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs41423244_rs2020854'}","{'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs41423244_rs2020854'}","{'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs41423244_rs2020854'}","{'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs41423244_rs2020854'}","{'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs41423244_rs2020854'}","{'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs41423244_rs2020854'}","{'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs41423244_rs2020854', 'rs57343616_rs2020854'}","{'rs2371454_rs2020854', 'rs79718165_rs2020854', 'rs111885088_rs2020854', 'rs77120931_rs2020854', 'rs41423244_rs2020854', 'rs149980726_rs2020854', 'rs59917308_rs2020854', 'rs78149779_rs2020854', 'rs1274490_rs2020854', 'rs808919_rs2020854', 'rs149241310_rs2020854', 'rs117305040_rs2020854', 'rs138479608_rs2020854', 'rs138540086_rs2020854', 'rs2695789_rs2020854', 'rs871130_rs2020854', 'rs59822547_rs2020854'}","{'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs41423244_rs2020854'}","{'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs41423244_rs2020854'}","{'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs41423244_rs2020854'}",CS
6,ENSG00000065361,,,,,,,0.00144618016825,0.00784759926834,,,,,0.0006996136280839999,,,,,,,"{'ENST00000549832', 'ENST00000553131'}","{'ENST00000549832', 'ENST00000553131'}",,,,,"{'ENST00000549832', 'ENST00000553131'}",,,,,,,"{'rs41392645_rs2020854', 'rs61338787_rs2020854', 'rs2629447_rs2020854', 'rs41423244_rs2020854', 'rs77447765_rs2020854', 'rs76430365_rs2020854', 'rs181006907_rs2020854', 'rs79750959_rs2020854', 'rs141303458_rs2020854', 'rs41363748_rs2020854', 'rs2643623_rs2020854', 'rs57279772_rs2020854', 'rs703830_rs2020854', 'rs116934693_rs2020854', 'rs10876882_rs2020854', 'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs113382723_rs2020854', 'rs773664_rs2020854', 'rs2695788_rs2020854', 'rs60192809_rs2020854', 'rs59811639_rs2020854'}","{'rs41392645_rs2020854', 'rs61338787_rs2020854', 'rs2629447_rs2020854', 'rs41423244_rs2020854', 'rs77447765_rs2020854', 'rs76430365_rs2020854', 'rs181006907_rs2020854', 'rs79750959_rs2020854', 'rs141303458_rs2020854', 'rs41363748_rs2020854', 'rs2643623_rs2020854', 'rs57279772_rs2020854', 'rs703830_rs2020854', 'rs116934693_rs2020854', 'rs10876882_rs2020854', 'rs78149779_rs2020854', 'rs2695789_rs2020854', 'rs113382723_rs2020854', 'rs773664_rs2020854', 'rs2695788_rs2020854', 'rs60192809_rs2020854', 'rs59811639_rs2020854'}",,,,,"{'rs41392645_rs2020854', 'rs61338787_rs2020854', 'rs2629447_rs2020854', 'rs41423244_rs2020854', 'rs1274490_rs2020854', 'rs77447765_rs2020854', 'rs76430365_rs2020854', 'rs181006907_rs2020854', 'rs79750959_rs2020854', 'rs59822547_rs2020854', 'rs141303458_rs2020854', 'rs41363748_rs2020854', 'rs2643623_rs2020854', 'rs871130_rs2020854', 'rs57279772_rs2020854', 'rs703830_rs2020854', 'rs116934693_rs2020854', 'rs149980726_rs2020854', 'rs59917308_rs2020854', 'rs10876882_rs2020854', 'rs78149779_rs2020854', 'rs808919_rs2020854', 'rs149241310_rs2020854', 'rs117305040_rs2020854', 'rs2695789_rs2020854', 'rs2371454_rs2020854', 'rs79718165_rs2020854', 'rs111885088_rs2020854', 'rs77120931_rs2020854', 'rs113382723_rs2020854', 'rs773664_rs2020854', 'rs2695788_rs2020854', 'rs138479608_rs2020854', 'rs138540086_rs2020854', 'rs60192809_rs2020854', 'rs59811639_rs2020854'}",ERBB3
7,ENSG00000070614,,,,,,,,,,0.0070744729842399994,,,,,,,,,,,,,"{'ENST00000518299', 'ENST00000523767'}",,,,,,,,,,,,,{'rs115682037_rs76956521'},,,,NDST1
8,ENSG00000072682,,,,,,,,,,0.00229935881826,,,,,,,,,,,,,{'ENST00000431054'},,,,,,,,,,,,,"{'rs3214098_rs715285', 'rs6596070_rs715285', 'rs7703009_rs715285', 'rs7733502_rs715285', 'rs2301579_rs715285'}",,,,P4HA2
9,ENSG00000076108,,0.00622082503196,,,,,1.0468877502500001e-08,0.00012133996887499999,0.00288145860935,,,,1.3278022645e-07,,"{'ENST00000551812', 'ENST00000549884', 'ENST00000379441', 'ENST00000549506', 'ENST00000546695'}",,,,,"{'ENST00000551812', 'ENST00000549884', 'ENST00000379441', 'ENST00000549506', 'ENST00000546695'}","{'ENST00000551812', 'ENST00000549884', 'ENST00000379441', 'ENST00000549506', 'ENST00000546695'}","{'ENST00000546695', 'ENST00000549884'}",,,,"{'ENST00000551812', 'ENST00000549884', 'ENST00000379441', 'ENST00000549506', 'ENST00000546695'}",,{'rs57343616_rs2020854'},,,,,{'rs57343616_rs2020854'},{'rs57343616_rs2020854'},{'rs57343616_rs2020854'},,,,{'rs57343616_rs2020854'},BAZ2A
